No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log-likelihood value
656	indigeo	1443	5.234	5	5	-0.011
657	antea	1450	5.259	5	5	-0.013
658	insinuo	1739	6.307	6	6	-0.015
659	utor	3164	11.475	11	10	-0.02
660	compleo	2602	9.437	9	9	-0.021
661	postulo	2606	9.452	9	6	-0.022
662	uiuo	12684	46.003	45	33	-0.022
663	reprehendo	1473	5.342	5	5	-0.023
664	consummo	1759	6.38	6	6	-0.023
665	redemptor	2043	7.41	7	5	-0.023
666	regula1	4311	15.635	15	12	-0.026
667	cultus2	2356	8.545	8	8	-0.036
668	natiuitas	2360	8.559	8	8	-0.038
669	iuxta1	11099	40.254	39	26	-0.04
670	adhereo	1505	5.458	5	5	-0.04
671	precedo	2652	9.618	9	8	-0.041
672	quondam	2085	7.562	7	7	-0.043
673	uocabulum	1799	6.525	6	6	-0.044
674	sono	1514	5.491	5	5	-0.045
675	ieiunium	2383	8.643	8	7	-0.049
676	coniungo	2118	7.682	7	7	-0.063
677	adiungo	1545	5.604	5	5	-0.068
678	quicumque	9527	34.553	33	22	-0.071
679	imperator	8703	31.565	30	20	-0.079
680	profecto	2155	7.816	7	7	-0.089
681	facile	2448	8.879	8	8	-0.09
682	siquidem	3033	11	10	8	-0.094
683	numquid	2751	9.978	9	8	-0.099
684	concilium	4771	17.304	16	13	-0.101
685	adeo1	1586	5.752	5	5	-0.103
686	olim	2184	7.921	7	7	-0.112
687	hereticus2	3927	14.243	13	11	-0.112
688	itaque	8518	30.894	29	23	-0.119
689	eloquium	2486	9.016	8	8	-0.12
690	patriarcha	2486	9.016	8	7	-0.12
691	decerno	3657	13.263	12	9	-0.125
692	miro	1905	6.909	6	6	-0.126
693	conscientia	2496	9.053	8	8	-0.128
694	opus1	24361	88.354	85	57	-0.13
695	extremus	1915	6.945	6	6	-0.135
696	auris	3705	13.438	12	12	-0.16
697	considero	2835	10.282	9	7	-0.168
698	quapropter	2248	8.153	7	6	-0.172
699	apud	14047	50.946	48	32	-0.175
700	medion	3146	11.41	10	10	-0.183
701	postea	4899	17.768	16	14	-0.183
702	aurum	2563	9.296	8	8	-0.19
703	adhibeo	1665	6.039	5	5	-0.191
704	foris1	1679	6.09	5	5	-0.208
705	contendo	1681	6.097	5	5	-0.211
706	penite	2590	9.394	8	8	-0.219
707	pateo	2889	10.478	9	9	-0.22
708	mysterium	5257	19.066	17	14	-0.233
709	hic2	9598	34.811	32	27	-0.234
710	differo	2004	7.268	6	6	-0.236
711	nimirum	2607	9.455	8	8	-0.237
712	ueraciter	1702	6.173	5	5	-0.239
713	insuper1	1715	6.22	5	5	-0.258
714	uisio	2627	9.528	8	6	-0.26
715	rector	1719	6.235	5	5	-0.263
716	pondus	1722	6.245	5	4	-0.268
717	bonus	26208	95.053	90	36	-0.275
718	tango	2645	9.593	8	8	-0.282
719	arca	2348	8.516	7	7	-0.288
720	pars	17433	63.227	59	46	-0.29
721	femen	1741	6.314	5	5	-0.296
722	fero	7669	27.814	25	19	-0.296
723	supra1	2964	10.75	9	9	-0.303
724	penitentia	8009	29.048	26	14	-0.333
725	teneo	10923	39.616	36	29	-0.342
726	quare	3911	14.185	12	10	-0.356
727	notus	1790	6.492	5	5	-0.374
728	presto2	3023	10.964	9	9	-0.376
729	fides	30182	109.466	103	51	-0.392
730	pastor	3648	13.231	11	10	-0.401
731	nobilis	2434	8.828	7	7	-0.409
732	uniuersalis	1824	6.615	5	4	-0.433
733	doceo	10200	36.994	33	28	-0.449
734	consensus	2152	7.805	6	6	-0.456
735	tandem	2476	8.98	7	5	-0.474
736	tollo	2793	10.13	8	5	-0.485
737	sub	14326	51.958	47	32	-0.491
738	quamuis	4631	16.796	14	11	-0.495
739	appeto	1859	6.742	5	5	-0.497
740	doleo	1861	6.75	5	4	-0.5
741	quomodo	10295	37.338	33	25	-0.527
742	dubito	2518	9.132	7	7	-0.544
743	misa	3456	12.534	10	9	-0.553
744	tam	10045	36.432	32	26	-0.565
745	reliquus	5021	18.21	15	12	-0.605
746	scientia	5333	19.342	16	15	-0.616
747	usus	3832	13.898	11	10	-0.654
748	trado	8965	32.515	28	22	-0.661
749	sufficio	2918	10.583	8	8	-0.692
750	)	30262	109.756	101	71	-0.721
751	secundum1	20166	73.139	66	50	-0.724
752	figura	2940	10.663	8	7	-0.731
753	laus	6034	21.884	18	16	-0.737
754	cura	4219	15.302	12	10	-0.773
755	nequaquam	3283	11.907	9	9	-0.778
756	decretum	2986	10.83	8	3	-0.817
757	igitur	11511	41.749	36	27	-0.834
758	ut	168062	609.536	587	171	-0.854
759	archiepiscopus	3644	13.216	10	10	-0.858
760	hodie	2363	8.57	6	5	-0.865
761	locus	27046	98.092	89	60	-0.874
762	donum	4909	17.804	14	9	-0.881
763	uelut2	5228	18.961	15	13	-0.895
764	taceo	2071	7.511	5	4	-0.956
765	auctoritas	8934	32.402	27	25	-0.959
766	bonum	2097	7.606	5	5	-1.02
767	colo2	2118	7.682	5	4	-1.073
768	diuido	3443	12.487	9	8	-1.084
769	abeo	2123	7.7	5	4	-1.086
770	alibi	2804	10.17	7	7	-1.114
771	at	3787	13.735	10	7	-1.127
772	struo	2489	9.027	6	6	-1.156
773	longe	3815	13.836	10	9	-1.183
774	natura	10944	39.692	33	17	-1.202
775	uidelicet	10383	37.658	31	22	-1.258
776	augustus1	3199	11.602	8	8	-1.261
777	moueo	3885	14.09	10	5	-1.327
778	moneo	2562	9.292	6	5	-1.34
779	solus1	8953	32.471	26	24	-1.39
780	separo	2582	9.365	6	4	-1.392
781	;	116352	421.992	398	151	-1.403
782	sensus	7122	25.83	20	19	-1.433
783	etenim	2603	9.441	6	6	-1.447
784	caueo	2277	8.258	5	5	-1.504
785	curo	3637	13.191	9	8	-1.505
786	leo	4300	15.596	11	8	-1.516
787	magister2	3647	13.227	9	9	-1.529
788	perduco	2286	8.291	5	5	-1.53
789	clarus	2977	10.797	7	7	-1.532
790	confero	4308	15.625	11	10	-1.533
791	extra2	2294	8.32	5	4	-1.553
792	falsus	3326	12.063	8	7	-1.56
793	commendo	3669	13.307	9	9	-1.58
794	pontifex	6896	25.011	19	18	-1.582
795	dimitto	5627	20.408	15	13	-1.585
796	interpretor	5357	19.429	14	12	-1.688
797	quantus	4715	17.101	12	12	-1.706
798	efficio	3399	12.328	8	8	-1.743
799	paulus	8919	32.348	25	20	-1.819
800	deuotio	2396	8.69	5	5	-1.858
801	nemo	6740	24.445	18	12	-1.879
802	propterea	3112	11.287	7	7	-1.892
803	habeo	59550	215.979	196	111	-1.92
804	nam	23565	85.467	73	45	-1.923
805	demon	2421	8.781	5	5	-1.936
806	iam	20595	74.695	63	47	-1.943
807	respondeo	7111	25.791	19	12	-1.977
808	apostolus	27482	99.673	86	46	-1.977
809	cupio	3148	11.417	7	7	-1.992
810	licet	5198	18.852	13	13	-2.048
811	dictum	3527	12.792	8	8	-2.081
812	diu	2832	10.271	6	6	-2.098
813	procedo	4218	15.298	10	5	-2.1
814	iterum	6856	24.866	18	16	-2.107
815	testis	2836	10.286	6	6	-2.11
816	conseruo	2483	9.006	5	4	-2.134
817	prauus	2846	10.322	6	6	-2.141
818	consequor	2491	9.035	5	5	-2.16
819	uterque	7941	28.801	21	17	-2.343
820	diaconus	3974	14.413	9	7	-2.358
821	redeo	5029	18.239	12	11	-2.439
822	percutio	3314	12.019	7	5	-2.478
823	examplum	6710	24.336	17	13	-2.484
824	intentio	2591	9.397	5	3	-2.492
825	idolum	2982	10.815	6	6	-2.568
826	presumo	4746	17.213	11	9	-2.584
827	subicio	3002	10.888	6	6	-2.633
828	custodio2	4080	14.798	9	8	-2.654
829	respicio	2660	9.647	5	4	-2.731
830	melius	2662	9.655	5	4	-2.738
831	longus	2662	9.655	5	5	-2.738
832	loquor	15720	57.014	45	38	-2.742
833	mereo1	3403	12.342	7	7	-2.754
834	postquam	4115	14.925	9	9	-2.754
835	pascha	2667	9.673	5	2	-2.755
836	consentio	3040	11.026	6	4	-2.758
837	predestino	2670	9.684	5	4	-2.766
838	exsisto	6201	22.49	15	13	-2.839
839	unitas	3431	12.444	7	6	-2.842
840	confirmo	4512	16.364	10	10	-2.888
841	inde	7879	28.576	20	18	-2.889
842	circa2	3449	12.509	7	7	-2.9
843	solum1	10488	38.038	28	26	-2.93
844	martyr	7254	26.309	18	17	-2.965
845	coram2	4891	17.739	11	10	-2.975
846	pariter	3123	11.327	6	6	-3.038
847	100	3493	12.669	7	7	-3.042
848	ualde	3126	11.338	6	6	-3.048
849	mirus	2751	9.978	5	5	-3.055
850	numquam	4938	17.909	11	10	-3.106
851	regius	2771	10.05	5	4	-3.128
852	lingua	5301	19.226	12	12	-3.15
853	labor2	4996	18.12	11	11	-3.27
854	remaneo	2821	10.231	5	4	-3.313
855	statim	2835	10.282	5	5	-3.365
856	utique	5038	18.272	11	10	-3.391
857	culpa	2844	10.315	5	4	-3.399
858	pereo	5041	18.283	11	8	-3.4
859	huiusmodi	4354	15.791	9	9	-3.474
860	significo	10220	37.066	26	21	-3.707
861	intellectus	3313	12.016	6	5	-3.709
862	permitto	4066	14.747	8	8	-3.72
863	quisque	7232	26.229	17	16	-3.727
864	plenus	5158	18.707	11	11	-3.745
865	permaneo	4808	17.438	10	8	-3.767
866	creatura	4120	14.943	8	7	-3.901
867	gradus	2977	10.797	5	5	-3.908
868	oratio	8345	30.266	20	15	-3.974
869	contrarius	3386	12.281	6	6	-3.978
870	templum	6987	25.341	16	9	-3.981
871	designo	3799	13.778	7	7	-4.089
872	querio	3799	13.778	7	7	-4.089
873	offero	7405	26.857	17	16	-4.18
874	amicus2	3053	11.073	5	5	-4.208
875	crimen	3459	12.545	6	6	-4.253
876	predicatio	4273	15.498	8	6	-4.429
877	abbas	7157	25.957	16	14	-4.446
878	totus	19267	69.879	53	44	-4.47
879	precapio	3522	12.774	6	5	-4.494
880	soleo	4683	16.985	9	9	-4.552
881	celestis	9264	33.599	22	16	-4.583
882	puer	3939	14.286	7	7	-4.599
883	bene	8253	29.932	19	15	-4.61
884	sapiens	3554	12.89	6	6	-4.618
885	admoneo	3156	11.446	5	4	-4.624
886	uerus	13589	49.285	35	21	-4.629
887	filia	3952	14.333	7	4	-4.648
888	aduentus	3564	12.926	6	6	-4.656
889	accedo	3956	14.348	7	6	-4.662
890	publicus1	3571	12.952	6	6	-4.684
891	statuo	3172	11.504	5	5	-4.69
892	necessarius1	3575	12.966	6	6	-4.699
893	alius	47026	170.556	143	89	-4.74
894	mitto	15279	55.415	40	33	-4.771
895	edo1	6571	23.832	14	12	-4.785
896	capio1	5156	18.7	10	9	-4.897
897	similis	5541	20.096	11	7	-4.951
898	lapis	4057	14.714	7	5	-5.043
899	prohibeo	3670	13.311	6	6	-5.075
900	relinquo	6672	24.198	14	14	-5.091
901	comes	4465	16.194	8	6	-5.121
902	perpetuus	4114	14.921	7	7	-5.262
903	saluator	5664	20.543	11	8	-5.361
904	quantum	5680	20.601	11	10	-5.415
905	signum	14316	51.922	36	32	-5.497
906	iubeo	9352	33.918	21	19	-5.721
907	minus	3836	13.913	6	6	-5.75
908	agnosco	3424	12.418	5	4	-5.756
909	qualiter	3848	13.956	6	6	-5.8
910	descendo	4258	15.443	7	6	-5.826
911	liceo	4265	15.469	7	7	-5.854
912	iustitia	11209	40.653	26	19	-6.086
913	existimo	3501	12.698	5	5	-6.093
914	error	5140	18.642	9	9	-6.196
915	mora1	3957	14.352	6	6	-6.256
916	dolor	3540	12.839	5	5	-6.266
917	!	3970	14.399	6	6	-6.312
918	rogo	4419	16.027	7	7	-6.477
919	species	4029	14.613	6	6	-6.563
920	quisquis1	7132	25.867	14	13	-6.566
921	modus	5285	19.168	9	9	-6.749
922	ecce	7576	27.477	15	12	-6.818
923	quod	53580	194.327	159	91	-6.891
924	deinde	5323	19.306	9	9	-6.896
925	qualis	4107	14.896	6	6	-6.9
926	ira	3684	13.361	5	2	-6.913
927	peto	6871	24.92	13	12	-6.944
928	spiritalis	7657	27.771	15	12	-7.087
929	appareo	6162	22.349	11	11	-7.125
930	super	23579	85.518	62	42	-7.189
931	addo	4603	16.694	7	6	-7.242
932	celebro	4605	16.702	7	7	-7.251
933	quero	8096	29.363	16	13	-7.322
934	precipio	4246	15.4	6	5	-7.51
935	pertineo	6671	24.195	12	11	-7.584
936	quisquam	3862	14.007	5	5	-7.735
937	proficio	3874	14.05	5	5	-7.791
938	gero	5597	20.3	9	9	-7.983
939	tribuo	3915	14.199	5	5	-7.984
940	scilicet	11586	42.021	25	21	-8.106
941	clericus2	5231	18.972	8	7	-8.152
942	quidem	13370	48.491	30	27	-8.201
943	lux	6916	25.083	12	11	-8.499
944	persona	7304	26.491	13	10	-8.501
945	hostis	6567	23.818	11	10	-8.667
946	conuenio	5358	19.433	8	8	-8.691
947	communis	4075	14.779	5	4	-8.746
948	impius	4519	16.39	6	6	-8.746
949	intellego	19060	69.128	46	33	-8.818
950	discipulus	4540	16.466	6	6	-8.843
951	panis	5422	19.665	8	8	-8.966
952	alter	10468	37.966	21	20	-9.092
953	imago	5453	19.777	8	4	-9.1
954	forma	4151	15.055	5	5	-9.113
955	benedico	4618	16.749	6	6	-9.205
956	aufero	5062	18.359	7	7	-9.246
957	constituo	8682	31.488	16	15	-9.343
958	?	41969	152.215	116	60	-9.444
959	sto	5540	20.093	8	8	-9.479
960	manus2	17027	61.754	39	30	-9.697
961	impleo	6026	21.855	9	9	-9.771
962	tamquam	5612	20.354	8	7	-9.796
963	mox	4291	15.563	5	5	-9.799
964	neco	4303	15.606	5	5	-9.858
965	regno	4305	15.614	5	4	-9.868
966	nosco	9229	33.472	17	16	-9.943
967	absque	4330	15.704	5	5	-9.992
968	transeo	5664	20.543	8	7	-10.026
969	quatenus	4354	15.791	5	5	-10.111
970	certus	4360	15.813	5	5	-10.141
971	quando	13356	48.44	28	22	-10.222
972	adhuc	7383	26.777	12	12	-10.323
973	omnino	4403	15.969	5	5	-10.355
974	paruus	6579	23.861	10	10	-10.361
975	fors	5763	20.902	8	7	-10.468
976	dominicus1	5771	20.931	8	5	-10.504
977	cado	4445	16.121	5	5	-10.565
978	sic	22224	80.603	53	45	-10.811
979	ullus	4970	18.026	6	6	-10.882
980	presbyter	8350	30.284	14	13	-11
981	ob	5009	18.167	6	6	-11.071
982	unusquisque	6766	24.539	10	10	-11.159
983	diabolus	7654	27.76	12	11	-11.427
984	iudeus	14110	51.175	29	24	-11.45
985	potius	4633	16.803	5	5	-11.517
986	angelus	8495	30.81	14	8	-11.571
987	seruo	7349	26.654	11	10	-11.873
988	uxor	6105	22.142	8	8	-12.031
989	mulier	6577	23.854	9	8	-12.199
990	uniuersi	4770	17.3	5	5	-12.221
991	mallus1	8278	30.023	13	10	-12.323
992	predico1	7881	28.583	12	11	-12.375
993	uirgo	7058	25.598	10	10	-12.436
994	ignis	8316	30.161	13	13	-12.48
995	dux1	4842	17.561	5	5	-12.595
996	sol	5333	19.342	6	6	-12.674
997	ualeo	9178	33.287	15	13	-12.702
998	proprius1	13802	50.058	27	24	-12.825
999	magis	8839	32.058	14	14	-12.959
1000	episcopus	33792	122.559	85	52	-12.969
1001	magnus	24102	87.414	56	46	-13.009
1002	dignus	8471	30.723	13	11	-13.126
1003	nunc	13926	50.508	27	22	-13.243
1004	reddo	8605	31.209	13	10	-13.692
1005	ibi	10625	38.535	18	17	-13.713
1006	ratio	9036	32.772	14	12	-13.774
1007	oporteo	5575	20.22	6	6	-13.9
1008	rectus	7826	28.384	11	9	-13.956
1009	aliquis	23119	83.849	52	42	-14.067
1010	puto	7002	25.395	9	9	-14.16
1011	cum2	48101	174.455	127	83	-14.348
1012	cunctus	10019	36.337	16	13	-14.474
1013	concedo	5214	18.91	5	5	-14.558
1014	cognosco	10858	39.38	18	16	-14.625
1015	mensis	6191	22.454	7	6	-14.632
1016	passio	7106	25.772	9	8	-14.651
1017	ante2	12432	45.089	22	16	-14.654
1018	peruenio	6747	24.47	8	7	-15.096
1019	quoniam	16008	58.059	31	24	-15.27
1020	fio	22271	80.774	48	41	-15.647
1021	uir	19443	70.517	40	38	-15.737
1022	eligo	7355	26.676	9	8	-15.84
1023	uoco	13140	47.657	23	17	-15.856
1024	sacerdos	12795	46.406	22	21	-16.025
1025	res	22399	81.238	48	43	-16.027
1026	pena	5506	19.969	5	5	-16.135
1027	post2	23168	84.027	50	37	-16.208
1028	ordino	5530	20.057	5	5	-16.266
1029	talis	14475	52.499	26	24	-16.516
1030	placeo	6145	22.287	6	6	-16.874
1031	uerum1	7601	27.568	9	8	-17.036
1032	urbs	7688	27.883	9	9	-17.463
1033	mons	6752	24.489	7	7	-17.494
1034	dedo	5825	21.126	5	5	-17.89
1035	animus	7777	28.206	9	9	-17.903
1036	populus1	22668	82.214	47	31	-17.937
1037	oro	5945	21.562	5	5	-18.558
1038	tamen	22532	81.72	46	35	-18.646
1039	ius1	6001	21.765	5	5	-18.872
1040	cepio	6008	21.79	5	5	-18.911
1041	preceptum	7062	25.613	7	7	-19.119
1042	pius	8035	29.142	9	9	-19.191
1043	spiritus	31474	114.152	70	29	-19.927
1044	crux	6277	22.766	5	5	-20.428
1045	usque	24197	87.759	49	39	-20.489
1046	prius	6813	24.71	6	4	-20.49
1047	ueritas	13939	50.555	22	16	-20.571
1048	ergo1	29670	107.609	64	45	-20.796
1049	ipse2	84491	306.436	230	131	-21.033
1050	enim	66589	241.508	174	97	-21.056
1051	iustus	15277	55.407	25	15	-21.096
1052	gratia2	23297	84.495	46	20	-21.133
1053	tum	16556	60.046	28	23	-21.446
1054	summus	6483	23.513	5	5	-21.602
1055	nascor	7022	25.468	6	6	-21.647
1056	uero1	35931	130.316	81	64	-21.7
1057	pecco	6588	23.894	5	4	-22.205
1058	gens	13090	47.476	19	12	-22.225
1059	scio	13520	49.035	20	19	-22.272
1060	modo2	10590	38.408	13	12	-22.72
1061	humanus1	10590	38.408	13	11	-22.72
1062	propter	17688	64.152	30	23	-22.782
1063	duco	7756	28.13	7	7	-22.851
1064	annus	23523	85.314	45	32	-23.149
1065	dico1	14166	51.378	21	17	-23.257
1066	uolo2	23240	84.288	44	35	-23.464
1067	nullus	24241	87.919	46	38	-24.339
1068	quasi	19683	71.387	34	26	-24.425
1069	homo	47745	173.164	112	48	-24.852
1070	inquio	15058	54.613	22	17	-25.305
1071	quis	41464	150.384	93	59	-25.502
1072	seculum	10696	38.793	12	12	-25.503
1073	malus1	7711	27.967	6	6	-25.532
1074	audio	20164	73.132	34	28	-26.279
1075	tantus	12693	46.036	16	14	-26.336
1076	hora	11585	42.017	13	12	-27.617
1077	si	77083	279.569	196	98	-28.111
1078	uenio	11378	41.266	12	9	-28.976
1079	potestas	9926	36	9	8	-29.13
1080	ipse1	9945	36.069	9	9	-29.234
1081	mors	17655	64.032	26	22	-29.299
1082	pater	42897	155.581	93	61	-29.597
1083	nihil	13404	48.614	16	15	-29.76
1084	monasterium	10117	36.693	9	8	-30.176
1085	nolo	10171	36.889	9	7	-30.472
1086	apostolicus	9163	33.233	7	7	-30.743
1087	tempus	29849	108.258	56	43	-30.818
1088	suscipio	10308	37.386	9	9	-31.227
1089	iudicium	15105	54.784	19	19	-31.429
1090	uox	10981	39.827	10	9	-32.107
1091	oculus	9410	34.129	7	7	-32.167
1092	honor	9422	34.172	7	7	-32.236
1093	anima	20451	74.173	30	24	-34.156
1094	morior	8639	31.332	5	5	-34.403
1095	quam	41978	152.248	86	67	-34.42
1096	uideo	45783	166.048	96	64	-35.068
1097	sedes	9426	34.187	6	5	-35.588
1098	iudico	9448	34.267	6	6	-35.72
1099	domina	8868	32.163	5	5	-35.805
1100	nec	57170	207.347	126	78	-37.376
1101	ideo	14608	52.981	15	15	-38.224
1102	princeps	10481	38.013	7	7	-38.443
1103	diligo	9322	33.81	5	5	-38.606
1104	dum	18066	65.523	22	19	-39.157
1105	futurus	9511	34.495	5	5	-39.78
1106	celum	17298	62.737	20	15	-39.876
1107	uel	61906	224.524	137	76	-39.92
1108	que	76595	277.799	179	109	-40.513
1109	suus	117610	426.554	302	133	-40.883
1110	aut	34719	125.921	61	36	-41.597
1111	debeo	23501	85.235	33	25	-41.995
1112	casa	14857	53.884	14	12	-42.159
1113	aqua	10006	36.29	5	5	-42.871
1114	mundus2	15073	54.668	14	13	-43.325
1115	caritas	10145	36.794	5	3	-43.743
1116	do	28094	101.893	43	35	-43.762
1117	autem	64914	235.434	140	78	-45.591
1118	ero	26515	96.166	38	30	-45.941
1119	frater	19042	69.063	21	17	-46.277
1120	uoluntas	11264	40.853	6	5	-46.812
1121	atque	64010	232.155	136	89	-47.128
1122	corpus	25509	92.517	34	24	-49.145
1123	fidelis	12503	45.347	7	7	-50.673
1124	eternus	16006	58.051	13	13	-51.352
1125	nisi	22453	81.434	26	24	-51.678
1126	gloria	11706	42.456	5	5	-53.661
1127	domus	13754	49.884	8	8	-54.635
1128	ne2	26592	96.445	33	28	-56.314
1129	semper	14444	52.386	8	8	-58.869
1130	ago	19103	69.284	16	15	-59.855
1131	dies	35444	128.55	51	33	-61.054
1132	possum	56956	206.571	104	81	-62.729
1133	credo2	21895	79.41	20	16	-63.874
1134	tuus	47270	171.441	78	57	-64.331
1135	mens	14696	53.3	7	7	-64.355
1136	uirtus	20802	75.446	17	16	-66.436
1137	ueneo	18864	68.417	13	10	-67.861
1138	cum1	70084	254.184	135	95	-67.913
1139	ille2	110466	400.644	247	136	-68.883
1140	facio	73916	268.082	144	104	-69.596
1141	noster	59504	215.812	103	72	-73.638
1142	sine	17513	63.517	9	8	-74.071
1143	peccatum	26411	95.789	25	23	-74.672
1144	pro	43480	157.696	62	45	-75.969
1145	omnis	114016	413.519	250	139	-76.016
1146	a	138248	501.405	315	182	-80.685
1147	uester	24118	87.472	18	15	-82.297
1148	ad	177121	642.392	422	181	-87.078
1149	caro2	18153	65.838	6	6	-91.177
1150	quia	98686	357.92	188	89	-98.431
1151	terra	26620	96.547	17	12	-100.366
1152	cor	20900	75.801	7	7	-104.543
1153	christus	59315	215.127	83	53	-106.689
1154	ecclesia	50122	181.785	60	43	-111.05
1155	et	725333	2630.675	2118	402	-111.165
1156	tu	47761	173.222	54	45	-113.052
1157	sed	101708	368.88	184	119	-114.605
1158	ego	60664	220.019	82	58	-114.745
1159	sum	524045	1900.634	1457	336	-115.809
1160	filius	50031	181.455	53	41	-127.009
1161	nos	57619	208.976	69	48	-127.639
1162	uos	35822	129.921	25	21	-127.897
1163	per	98723	358.054	163	106	-134.471
1164	meus	41617	150.939	31	22	-142.28
1165	dominus	89984	326.359	126	82	-161.878
1166	se	80262	291.098	92	65	-187.286
1167	deus	140088	508.078	193	99	-258.592
1168	,	2210261	8016.289	6686	591	-261.59
1169	is2	288636	1046.84	505	214	-352.46
1170	non	212441	770.492	301	157	-377.203
