No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log-likelihood value
150	epistola	8199	29.737	75	44	48.519
151	precedens	704	2.553	20	13	47.882
152	georgicus	7	0.025	5	4	47.828
153	religio	3054	11.076	41	22	47.778
154	disputo	997	3.616	23	12	46.724
155	antapodosis	16	0.058	6	2	46.342
156	ueteres	678	2.459	19	16	45.028
157	uiginti	2038	7.392	32	18	44.877
158	disputatio	600	2.176	18	12	44.84
159	hilariter	259	0.939	13	6	44.767
160	psalmus	6551	23.76	63	37	44.645
161	adulterinus	119	0.432	10	5	44.515
162	excerpo	167	0.606	11	9	43.66
163	pontificalis	546	1.98	17	6	43.481
164	canticus	546	1.98	17	11	43.481
165	copia	1190	4.316	24	20	43.321
166	exaro	336	1.219	14	13	43.292
167	canonicus2	913	3.311	21	14	42.555
168	hierarchia	418	1.516	15	6	42.235
169	principium	3225	11.697	40	27	42.021
170	plures	2957	10.725	38	22	41.856
171	capitulare	182	0.66	11	5	41.814
172	miraculum	1579	5.727	27	17	41.485
173	additio	100	0.363	9	4	41.303
174	institutio	949	3.442	21	15	41.173
175	chronicus	141	0.511	10	8	41.144
176	historicus2	42	0.152	7	4	41.082
177	octauus	592	2.147	17	12	41.024
178	manuscriptum	80	0.29	8	6	38.424
179	coniugalis1	214	0.776	11	2	38.382
180	inuoluo	652	2.365	17	7	38.132
181	hic3	167450	607.316	764	237	37.819
182	faustus	220	0.798	11	8	37.8
183	gratis	946	3.431	20	6	37.674
184	hebraicus	973	3.529	20	11	36.733
185	apologeticus	58	0.21	7	6	36.318
186	5	3578	12.977	40	23	36.226
187	ita	28529	103.471	170	87	35.971
188	edictum	613	2.223	16	15	35.917
189	iste2	20938	75.939	133	81	35.15
190	signaculum	465	1.687	14	13	34.965
191	conferuefacio	143	0.519	9	5	34.923
192	exsto	744	2.698	17	14	34.256
193	distinguo	963	3.493	19	17	33.604
194	refero	6201	22.49	55	42	33.534
195	index	218	0.791	10	9	32.727
196	inuenio	15419	55.922	103	76	31.837
197	testimonium	6030	21.87	53	38	31.744
198	prouerbium	552	2.002	14	12	30.727
199	sermo	9216	33.425	70	41	30.501
200	philos	27	0.098	5	4	30.482
201	premium2	90	0.326	7	7	30.08
202	prolixitas	192	0.696	9	5	29.822
203	sequens	1845	6.692	25	20	29.472
204	auctus1	141	0.511	8	8	29.431
205	septem	4445	16.121	42	24	28.835
206	codex	2028	7.355	26	21	28.547
207	gista	152	0.551	8	3	28.275
208	initium	3538	12.832	36	27	28.098
209	ascribo	825	2.992	16	14	27.844
210	10	2211	8.019	27	16	27.764
211	illustris1	35	0.127	5	5	27.707
212	philosophus2	726	2.633	15	13	27.678
213	series	627	2.274	14	13	27.662
214	editus1	159	0.577	8	7	27.586
215	didymus	71	0.258	6	6	26.777
216	pleuio	72	0.261	6	5	26.61
217	heresis	1462	5.303	21	12	26.585
218	7	2452	8.893	28	15	26.169
219	breuiter	1231	4.465	19	16	26.138
220	(	30251	109.716	167	72	25.898
221	catalogus	319	1.157	10	7	25.698
222	antiquus	4057	14.714	38	31	25.677
223	fastus1	43	0.156	5	4	25.555
224	explano	412	1.494	11	9	25.129
225	egredior	3145	11.406	32	9	24.974
226	lector	1435	5.205	20	17	24.414
227	gentilis	2574	9.336	28	23	24.321
228	flosculus	49	0.178	5	5	24.219
229	totidem	347	1.259	10	9	24.194
230	elegans	139	0.504	7	5	24.151
231	commentum	201	0.729	8	5	24.054
232	pentateuchum	50	0.181	5	4	24.015
233	scriptura	9540	34.6	67	43	23.877
234	soluo	4073	14.772	37	29	23.618
235	uaro2	52	0.189	5	5	23.614
236	pretitulo	53	0.192	5	5	23.423
237	agnellus	546	1.98	12	2	23.387
238	uetustus	283	1.026	9	7	23.362
239	reparatio	214	0.776	8	2	23.127
240	bibliotheca	458	1.661	11	9	23.105
241	philosophicus	98	0.355	6	4	22.959
242	tripartitus	98	0.355	6	5	22.959
243	declaro	1798	6.521	22	17	22.684
244	quantitas	786	2.851	14	10	22.424
245	ecclesiastes2	103	0.374	6	5	22.378
246	pelagium	59	0.214	5	2	22.341
247	sacramentum	5790	21	46	31	22.257
248	retracto	304	1.103	9	6	22.206
249	sacer	11163	40.487	73	56	21.148
250	insero1	1473	5.342	19	17	21.028
251	astipulor	68	0.247	5	4	20.929
252	decerpo	123	0.446	6	6	20.336
253	duodecim	2409	8.737	25	19	20.153
254	unde	25621	92.924	139	69	19.909
255	aduersus2	3751	13.604	33	25	19.799
256	partim	888	3.221	14	11	19.72
257	clausula	78	0.283	5	5	19.579
258	prefixus	279	1.012	8	7	19.283
259	hinc	7125	25.841	51	29	19.125
260	uersus2	2043	7.41	22	19	18.81
261	explecto	1331	4.827	17	17	18.572
262	22	483	1.752	10	9	18.486
263	octo1	1632	5.919	19	15	18.264
264	aliquot	502	1.821	10	8	17.844
265	opusculum	728	2.64	12	8	17.739
266	interpres	619	2.245	11	10	17.578
267	monumentum	1118	4.055	15	11	17.464
268	aris	100	0.363	5	5	17.181
269	euangelista	2646	9.597	25	19	17.16
270	arrianus	538	1.951	10	5	16.708
271	aperte	2530	9.176	24	18	16.593
272	dissero2	448	1.625	9	7	16.186
273	11	1487	5.393	17	14	15.914
274	29	358	1.298	8	7	15.817
275	agnos	943	3.42	13	9	15.657
276	carmen	1216	4.41	15	14	15.638
277	sufficienter	369	1.338	8	8	15.407
278	baptismum	3341	12.117	28	18	15.218
279	manicheius	282	1.023	7	6	15.101
280	8	2494	9.045	23	15	15.101
281	peritus	383	1.389	8	8	14.907
282	nomen	25313	91.807	131	87	14.839
283	condo	1272	4.613	15	14	14.686
284	mortuus	6656	24.14	45	30	14.402
285	christiana	300	1.088	7	5	14.355
286	eruditus1	644	2.336	10	9	13.85
287	scottus	314	1.139	7	3	13.812
288	adnoto	420	1.523	8	8	13.685
289	25	423	1.534	8	4	13.592
290	iste1	2466	8.944	22	15	13.563
291	coniugium	1348	4.889	15	7	13.488
292	edissero	150	0.544	5	5	13.405
293	canon	4285	15.541	32	24	13.373
294	euidenter	948	3.438	12	10	12.954
295	nuptie	1391	5.045	15	4	12.853
296	folium	564	2.046	9	8	12.847
297	33	246	0.892	6	2	12.762
298	textus	353	1.28	7	5	12.438
299	hamus	357	1.295	7	5	12.308
300	primum	5850	21.217	39	30	11.976
301	manifesto2	2626	9.524	22	10	11.947
302	16	1018	3.692	12	8	11.742
303	finio	2137	7.751	19	17	11.636
304	indo	275	0.997	6	5	11.619
305	benedictus	2312	8.385	20	6	11.601
306	plerique	748	2.713	10	9	11.589
307	octoginta	384	1.393	7	7	11.474
308	sedecim	187	0.678	5	3	11.435
309	prenoto	189	0.686	5	5	11.341
310	elogium	190	0.689	5	5	11.295
311	sacerdotalis	1507	5.466	15	11	11.28
312	uocatus	768	2.785	10	7	11.204
313	canonica1	512	1.857	8	6	11.157
314	diligenter	2553	9.259	21	19	10.968
315	christianus1	5821	21.112	38	33	10.946
316	theologia	298	1.081	6	3	10.813
317	satis	3302	11.976	25	19	10.805
318	nonnulli	2400	8.704	20	18	10.74
319	termino	660	2.394	9	5	10.693
320	colligo2	3327	12.067	25	22	10.608
321	collatio	313	1.135	6	5	10.326
322	psalterium	548	1.988	8	8	10.323
323	illuster	681	2.47	9	9	10.278
