No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio value
150	generatio	2678	9.713	56	29	2.553
151	peritus	383	1.389	8	8	2.551
152	memini	1496	5.426	31	24	2.539
153	22	483	1.752	10	9	2.538
154	describo	2081	7.548	43	37	2.535
155	philosophus2	726	2.633	15	13	2.535
156	hebraicus	973	3.529	20	11	2.527
157	iudex	5361	19.444	110	51	2.525
158	prefatus1	3657	13.263	75	34	2.524
159	nonus	2221	8.055	45	25	2.506
160	copia	1190	4.316	24	20	2.499
161	theologia	298	1.081	6	3	2.497
162	aliquot	502	1.821	10	8	2.481
163	textus	353	1.28	7	5	2.475
164	historicus1	253	0.918	5	5	2.47
165	distinguo	963	3.493	19	17	2.467
166	hamus	357	1.295	7	5	2.458
167	ascribo	825	2.992	16	14	2.442
168	uulgo2	258	0.936	5	4	2.441
169	collatio	313	1.135	6	5	2.425
170	sextus	2095	7.598	40	27	2.419
171	adnoto	420	1.523	8	8	2.415
172	inuentio	266	0.965	5	5	2.396
173	arrianus	538	1.951	10	5	2.379
174	titulus	1835	6.655	34	25	2.375
175	octoginta	384	1.393	7	7	2.351
176	caput	17026	61.751	308	92	2.339
177	actus	3384	12.273	61	36	2.334
178	quantitas	786	2.851	14	10	2.317
179	interpres	619	2.245	11	10	2.313
180	uetus	4403	15.969	78	49	2.309
181	idem2	43462	157.63	766	165	2.301
182	expono	3296	11.954	58	39	2.299
183	recenseo	341	1.237	6	5	2.299
184	memoro	3082	11.178	54	24	2.293
185	testor	2767	10.036	48	40	2.278
186	miraculum	1579	5.727	27	17	2.257
187	expando2	351	1.273	6	3	2.256
188	quotienscumque	293	1.063	5	5	2.254
189	4	3774	13.688	63	37	2.222
190	superus	2965	10.754	49	28	2.207
191	prior	4247	15.403	70	27	2.203
192	testamentum	4862	17.634	80	44	2.2
193	anterior	306	1.11	5	5	2.19
194	beatus	22102	80.161	360	120	2.185
195	euangelium	10708	38.836	174	77	2.182
196	2	4069	14.758	66	39	2.179
197	partim	888	3.221	14	11	2.138
