No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Dice coefficient value
657	peritus	383	1.389	8	8	0.001
658	ultimus	1647	5.973	9	6	0.001
659	custos	1686	6.115	9	3	0.001
660	subiungo	2534	9.19	10	9	0.001
661	plenus	5158	18.707	11	11	0.001
662	preterea	1228	4.454	9	8	0.001
663	ratio	9036	32.772	14	12	0.001
664	adhuc	7383	26.777	12	12	0.001
665	moueo	3885	14.09	10	5	0.001
666	dignus	8471	30.723	13	11	0.001
667	adiutorium	1440	5.223	8	7	0.001
668	hostis	6567	23.818	11	10	0.001
669	at	3787	13.735	10	7	0.001
670	condio	1216	4.41	8	8	0.001
671	sensum	2419	8.773	9	9	0.001
672	nequaquam	3283	11.907	9	9	0.001
673	compleo	2602	9.437	9	9	0.001
674	tabula	1046	3.794	8	7	0.001
675	18	904	3.279	8	7	0.001
676	predico1	7881	28.583	12	11	0.001
677	similis	5541	20.096	11	7	0.001
678	nusquam	679	2.463	8	7	0.001
679	pateo	2889	10.478	9	9	0.001
680	reddo	8605	31.209	13	10	0.001
681	diabolus	7654	27.76	12	11	0.001
682	perfectio	2371	8.599	9	7	0.001
683	precedo	2652	9.618	9	8	0.001
684	procedo	4218	15.298	10	5	0.001
685	considero	2835	10.282	9	7	0.001
686	dispositio	1251	4.537	8	4	0.001
687	permaneo	4808	17.438	10	8	0.001
688	prout	1383	5.016	8	8	0.001
689	saluator	5664	20.543	11	8	0.001
690	lux	6916	25.083	12	11	0.001
691	numero1	789	2.862	8	8	0.001
692	psalterium	548	1.988	8	8	0.001
693	numquid	2751	9.978	9	8	0.001
694	editio	686	2.488	8	7	0.001
695	uirginitas	798	2.894	8	5	0.001
696	adicio	1383	5.016	8	6	0.001
697	postulo	2606	9.452	9	6	0.001
698	canonica1	512	1.857	8	6	0.001
699	comburo	614	2.227	8	6	0.001
700	supra1	2964	10.75	9	9	0.001
701	longe	3815	13.836	10	9	0.001
702	nihil	13404	48.614	16	15	0.001
703	octauum2	1007	3.652	8	8	0.001
704	presto2	3023	10.964	9	9	0.001
705	quantum	5680	20.601	11	10	0.001
706	confirmo	4512	16.364	10	10	0.001
707	termino	660	2.394	9	5	0.001
708	appareo	6162	22.349	11	11	0.001
709	credo2	21895	79.41	20	16	0.001
710	paruus	6579	23.861	10	10	0.001
711	postquam	4115	14.925	9	9	0.001
712	lasciuus2	12	0.044	7	6	0.001
713	plus2	927	3.362	7	7	0.001
714	soleo	4683	16.985	9	9	0.001
715	tango	2645	9.593	8	8	0.001
716	textus	353	1.28	7	5	0.001
717	capio1	5156	18.7	10	9	0.001
718	copiosus	696	2.524	7	5	0.001
719	diaconus	3974	14.413	9	7	0.001
720	insignis	836	3.032	7	6	0.001
721	legens	492	1.784	7	7	0.001
722	custodio2	4080	14.798	9	8	0.001
723	tot	1684	6.108	8	6	0.001
724	ideo	14608	52.981	15	15	0.001
725	penite	2590	9.394	8	8	0.001
726	postmodo	1777	6.445	8	7	0.001
727	diuido	3443	12.487	9	8	0.001
728	hora	11585	42.017	13	12	0.001
729	manicheius	282	1.023	7	6	0.001
730	seruo	7349	26.654	11	10	0.001
731	modo2	10590	38.408	13	12	0.001
732	edoceo	804	2.916	7	6	0.001
733	uisio	2627	9.528	8	6	0.001
734	premium2	90	0.326	7	7	0.001
735	humanus1	10590	38.408	13	11	0.001
736	scottus	314	1.139	7	3	0.001
737	nepos	973	3.529	7	5	0.001
738	occurro	2152	7.805	8	7	0.001
739	prescientia	969	3.514	7	5	0.001
740	legalis	771	2.796	7	6	0.001
741	monstro	2257	8.186	8	7	0.001
742	curo	3637	13.191	9	8	0.001
743	narratio	638	2.314	7	7	0.001
744	nimirum	2607	9.455	8	8	0.001
745	tollo	2793	10.13	8	5	0.001
746	natiuitas	2360	8.559	8	8	0.001
747	hamus	357	1.295	7	5	0.001
748	magnitudo	1705	6.184	8	7	0.001
749	20	764	2.771	7	5	0.001
750	facile	2448	8.879	8	8	0.001
751	conscientia	2496	9.053	8	8	0.001
752	cultus2	2356	8.545	8	8	0.001
753	translatio	840	3.047	7	6	0.001
754	episcopatus	1692	6.137	8	7	0.001
755	abscondo	2190	7.943	8	8	0.001
756	huiusmodi	4354	15.791	9	9	0.001
757	rectus	7826	28.384	11	9	0.001
758	commendo	3669	13.307	9	9	0.001
759	sex	2330	8.451	9	6	0.001
760	obscurus	803	2.912	7	7	0.001
761	pando1	479	1.737	7	6	0.001
762	patriarcha	2486	9.016	8	7	0.001
763	meus	41617	150.939	31	22	0.001
764	paradisus	1879	6.815	8	4	0.001
765	elegans	139	0.504	7	5	0.001
766	apologeticus	58	0.21	7	6	0.001
767	saltem	1600	5.803	8	8	0.001
768	scruto	677	2.455	7	7	0.001
769	octoginta	384	1.393	7	7	0.001
770	eloquium	2486	9.016	8	8	0.001
771	historicus2	42	0.152	7	4	0.001
772	aurum	2563	9.296	8	8	0.001
773	christiana	300	1.088	7	5	0.001
774	retineo	2244	8.139	8	8	0.001
775	magister2	3647	13.227	9	9	0.001
776	sufficio	2918	10.583	8	8	0.001
777	differentia	1173	4.254	7	7	0.001
778	coniungo	2118	7.682	7	7	0.001
779	uirtus	20802	75.446	17	16	0.001
780	modus	5285	19.168	9	9	0.001
781	mundus2	15073	54.668	14	13	0.001
782	efficio	3399	12.328	8	8	0.001
783	uester	24118	87.472	18	15	0.001
784	philosophicus	98	0.355	6	4	0.001
785	arbitror	1750	6.347	7	7	0.001
786	redemptor	2043	7.41	7	5	0.001
787	error	5140	18.642	9	9	0.001
788	profecto	2155	7.816	7	7	0.001
789	materia1	1460	5.295	7	5	0.001
790	consolatio	1431	5.19	7	6	0.001
791	ecclesiastes2	103	0.374	6	5	0.001
792	permitto	4066	14.747	8	8	0.001
793	quapropter	2248	8.153	7	6	0.001
794	pleuio	72	0.261	6	5	0.001
795	ago	19103	69.284	16	15	0.001
796	antapodosis	16	0.058	6	2	0.001
797	indicium	1176	4.265	7	7	0.001
798	cano	1386	5.027	7	7	0.001
799	uirgo	7058	25.598	10	10	0.001
800	unusquisque	6766	24.539	10	10	0.001
801	aptus	1413	5.125	7	7	0.001
802	indo	275	0.997	6	5	0.001
803	comes	4465	16.194	8	6	0.001
804	condicio	1847	6.699	7	7	0.001
805	mulier	6577	23.854	9	8	0.001
806	deinde	5323	19.306	9	9	0.001
807	uestis	2231	8.092	8	7	0.001
808	33	246	0.892	6	2	0.001
809	uix	1790	6.492	7	7	0.001
810	quondam	2085	7.562	7	7	0.001
811	dogma	1640	5.948	7	6	0.001
812	tripartitus	98	0.355	6	5	0.001
813	grece	1158	4.2	7	5	0.001
814	augustus1	3199	11.602	8	8	0.001
815	breuis1	1545	5.604	7	7	0.001
816	creatura	4120	14.943	8	7	0.001
817	didymus	71	0.258	6	6	0.001
818	uenio	11378	41.266	12	9	0.001
819	predicatio	4273	15.498	8	6	0.001
820	ieiunium	2383	8.643	8	7	0.001
821	casa	14857	53.884	14	12	0.001
822	decerpo	123	0.446	6	6	0.001
823	olim	2184	7.921	7	7	0.001
824	utilis	1632	5.919	7	7	0.001
825	approbo	1107	4.015	7	7	0.001
826	pulcher	1486	5.39	7	7	0.001
827	decretum	2986	10.83	8	3	0.001
828	necnon	1487	5.393	7	7	0.001
829	falsus	3326	12.063	8	7	0.001
830	gero	5597	20.3	9	9	0.001
831	ingenium	1372	4.976	7	5	0.001
832	conditor	1584	5.745	7	7	0.001
833	arca	2348	8.516	7	7	0.001
834	impleo	6026	21.855	9	9	0.001
835	discutio	1125	4.08	7	6	0.001
836	uos	35822	129.921	25	21	0.001
837	augeo	1598	5.796	7	6	0.001
838	mirabilis	1182	4.287	7	6	0.001
839	dictum	3527	12.792	8	8	0.001
840	figura	2940	10.663	8	7	0.001
841	seculum	10696	38.793	12	12	0.001
842	orthodoxus	915	3.319	6	5	0.001
843	typus	863	3.13	6	6	0.001
844	agon	514	1.864	6	5	0.001
845	pronuntio	1150	4.171	6	6	0.001
846	puer	3939	14.286	7	7	0.001
847	deuoro	1004	3.641	6	5	0.001
848	dubito	2518	9.132	7	7	0.001
849	episcopalis	1126	4.084	6	5	0.001
850	consedeo	1723	6.249	6	5	0.001
851	accedo	3956	14.348	7	6	0.001
852	repeto	1585	5.749	6	6	0.001
853	mereo1	3403	12.342	7	7	0.001
854	excedo	947	3.435	6	6	0.001
855	pius	8035	29.142	9	9	0.001
856	reseruo	1179	4.276	6	6	0.001
857	denarius2	900	3.264	6	4	0.001
858	excipio	1684	6.108	6	6	0.001
859	urbs	7688	27.883	9	9	0.001
860	prudenter	530	1.922	6	5	0.001
861	breuitas	454	1.647	6	6	0.001
862	creber	619	2.245	6	5	0.001
863	terra	26620	96.547	17	12	0.001
864	dominicus1	5771	20.931	8	5	0.001
865	en	491	1.781	6	5	0.001
866	filia	3952	14.333	7	4	0.001
867	recenseo	341	1.237	6	5	0.001
868	transeo	5664	20.543	8	7	0.001
869	passio	7106	25.772	9	8	0.001
870	alibi	2804	10.17	7	7	0.001
871	puto	7002	25.395	9	9	0.001
872	sto	5540	20.093	8	8	0.001
873	tandem	2476	8.98	7	5	0.001
874	transmitto	1001	3.631	6	6	0.001
875	percutio	3314	12.019	7	5	0.001
876	uxor	6105	22.142	8	8	0.001
877	floreo	1019	3.696	6	6	0.001
878	querio	3799	13.778	7	7	0.001
879	cupio	3148	11.417	7	7	0.001
880	studiosus1	922	3.344	6	6	0.001
881	panis	5422	19.665	8	8	0.001
882	propterea	3112	11.287	7	7	0.001
883	clericus2	5231	18.972	8	7	0.001
884	complecto	487	1.766	6	4	0.001
885	eligo	7355	26.676	9	8	0.001
886	uox	10981	39.827	10	9	0.001
887	argumentum	1407	5.103	6	6	0.001
888	collatio	313	1.135	6	5	0.001
889	nobilis	2434	8.828	7	7	0.001
890	orno	1621	5.879	6	6	0.001
891	eternus	16006	58.051	13	13	0.001
892	unitas	3431	12.444	7	6	0.001
893	colloco	1182	4.287	6	4	0.001
894	designo	3799	13.778	7	7	0.001
895	testa	1003	3.638	6	5	0.001
896	circa2	3449	12.509	7	7	0.001
897	lateo	1456	5.281	6	6	0.001
898	stilus	593	2.151	6	6	0.001
899	tamquam	5612	20.354	8	7	0.001
900	uerum1	7601	27.568	9	8	0.001
901	expando2	351	1.273	6	3	0.001
902	uocatio	938	3.402	6	3	0.001
903	flagito	402	1.458	6	5	0.001
904	imago	5453	19.777	8	4	0.001
905	clarus	2977	10.797	7	7	0.001
906	conuenio	5358	19.433	8	8	0.001
907	nempe	785	2.847	6	6	0.001
908	theologia	298	1.081	6	3	0.001
909	solummodo	1434	5.201	6	5	0.001
910	documentum	740	2.684	6	6	0.001
911	100	3493	12.669	7	7	0.001
912	fors	5763	20.902	8	7	0.001
913	insinuo	1739	6.307	6	6	0.001
914	ceterum	1120	4.062	6	6	0.001
915	lucus1	1321	4.791	6	4	0.001
916	ornamentum	854	3.097	6	5	0.001
917	uenerandus	1363	4.943	6	5	0.001
918	perpetuus	4114	14.921	7	7	0.001
919	animus	7777	28.206	9	9	0.001
920	hactenus	1334	4.838	6	6	0.001
921	quinquaginta	873	3.166	6	6	0.001
922	relego1	443	1.607	6	6	0.001
923	lapis	4057	14.714	7	5	0.001
924	congruus	1478	5.361	6	6	0.001
925	consummo	1759	6.38	6	6	0.001
926	diu	2832	10.271	6	6	0.001
927	edissero	150	0.544	5	5	0.001
928	perspicio	704	2.553	5	4	0.001
929	pluralis	369	1.338	5	4	0.001
930	extremus	1915	6.945	6	6	0.001
931	reuera	711	2.579	5	5	0.001
932	necessarius1	3575	12.966	6	6	0.001
933	penuria	258	0.936	5	4	0.001
934	peruenio	6747	24.47	8	7	0.001
935	uocabulum	1799	6.525	6	6	0.001
936	georgicus	7	0.025	5	4	0.001
937	illustris1	35	0.127	5	5	0.001
938	industria	821	2.978	5	5	0.001
939	contrarius	3386	12.281	6	6	0.001
940	struo	2489	9.027	6	6	0.001
941	aduentus	3564	12.926	6	6	0.001
942	precapio	3522	12.774	6	5	0.001
943	flosculus	49	0.178	5	5	0.001
944	prenoto	189	0.686	5	5	0.001
945	clausula	78	0.283	5	5	0.001
946	moneo	2562	9.292	6	5	0.001
947	porrigo1	778	2.822	5	5	0.001
948	ianuarius	796	2.887	5	4	0.001
949	aufero	5062	18.359	7	7	0.001
950	ipse1	9945	36.069	9	9	0.001
951	sacro	789	2.862	5	5	0.001
952	separo	2582	9.365	6	4	0.001
953	subicio	3002	10.888	6	6	0.001
954	synodalis1	460	1.668	5	3	0.001
955	elogium	190	0.689	5	5	0.001
956	pelagium	59	0.214	5	2	0.001
957	addo	4603	16.694	7	6	0.001
958	historicus1	253	0.918	5	5	0.001
959	aris	100	0.363	5	5	0.001
960	instrumentum	566	2.053	5	5	0.001
961	quotienscumque	293	1.063	5	5	0.001
962	charta	720	2.611	5	4	0.001
963	collectio	423	1.534	5	5	0.001
964	nolo	10171	36.889	9	7	0.001
965	edificatio	764	2.771	5	1	0.001
966	ethereus	449	1.629	5	1	0.001
967	publicus1	3571	12.952	6	6	0.001
968	intellectus	3313	12.016	6	5	0.001
969	sapiens	3554	12.89	6	6	0.001
970	pentateuchum	50	0.181	5	4	0.001
971	potestas	9926	36	9	8	0.001
972	anterior	306	1.11	5	5	0.001
973	astipulor	68	0.247	5	4	0.001
974	quattuordecim	277	1.005	5	4	0.001
975	celebro	4605	16.702	7	7	0.001
976	recondo	566	2.053	5	5	0.001
977	cito2	539	1.955	5	4	0.001
978	liceo	4265	15.469	7	7	0.001
979	sedecim	187	0.678	5	3	0.001
980	uaro2	52	0.189	5	5	0.001
981	philos	27	0.098	5	4	0.001
982	fastus1	43	0.156	5	4	0.001
983	repetitio	249	0.903	5	4	0.001
984	consentio	3040	11.026	6	4	0.001
985	monasterium	10117	36.693	9	8	0.001
986	solidus2	706	2.561	5	5	0.001
987	oraculum	731	2.651	5	5	0.001
988	ubicumque	895	3.246	5	5	0.001
989	subdiaconus	405	1.469	5	3	0.001
990	pariter	3123	11.327	6	6	0.001
991	ueneo	18864	68.417	13	10	0.001
992	descendo	4258	15.443	7	6	0.001
993	partio1	380	1.378	5	5	0.001
994	figurate	355	1.288	5	3	0.001
995	pretitulo	53	0.192	5	5	0.001
996	hodie	2363	8.57	6	5	0.001
997	relego2	428	1.552	5	5	0.001
998	contemptor	343	1.244	5	2	0.001
999	crimen	3459	12.545	6	6	0.001
1000	decalogus	377	1.367	5	4	0.001
1001	differo	2004	7.268	6	6	0.001
1002	ualde	3126	11.338	6	6	0.001
1003	persus	526	1.908	5	5	0.001
1004	recito	711	2.579	5	5	0.001
1005	reuoluo	427	1.549	5	5	0.001
1006	testis	2836	10.286	6	6	0.001
1007	26	385	1.396	5	4	0.001
1008	uulgo2	258	0.936	5	4	0.001
1009	prauus	2846	10.322	6	6	0.001
1010	rogo	4419	16.027	7	7	0.001
1011	consensus	2152	7.805	6	6	0.001
1012	mensis	6191	22.454	7	6	0.001
1013	multoties	261	0.947	5	3	0.001
1014	solido	365	1.324	5	3	0.001
1015	32	260	0.943	5	3	0.001
1016	philosophus1	217	0.787	5	5	0.001
1017	inuentio	266	0.965	5	5	0.001
1018	suscipio	10308	37.386	9	9	0.001
1019	eruditio	536	1.944	5	5	0.001
1020	aduocatus	710	2.575	5	3	0.001
1021	etenim	2603	9.441	6	6	0.001
1022	idolum	2982	10.815	6	6	0.001
1023	computo	842	3.054	5	5	0.001
1024	miro	1905	6.909	6	6	0.001
1025	taceo	2071	7.511	5	4	0.001
1026	exinde	1244	4.512	5	5	0.001
1027	appeto	1859	6.742	5	5	0.001
1028	columna	1084	3.932	5	4	0.001
1029	securus	1425	5.168	5	5	0.001
1030	culpa	2844	10.315	5	4	0.001
1031	nuncupo	1437	5.212	5	4	0.001
1032	abeo	2123	7.7	5	4	0.001
1033	rector	1719	6.235	5	5	0.001
1034	rite	1043	3.783	5	4	0.001
1035	ob	5009	18.167	6	6	0.001
1036	perduco	2286	8.291	5	5	0.001
1037	impius	4519	16.39	6	6	0.001
1038	benedico	4618	16.749	6	6	0.001
1039	quodammodo	1085	3.935	5	4	0.001
1040	consequor	2491	9.035	5	5	0.001
1041	tego	1320	4.787	5	5	0.001
1042	ullus	4970	18.026	6	6	0.001
1043	fere	991	3.594	5	5	0.001
1044	preceptum	7062	25.613	7	7	0.001
1045	bonum	2097	7.606	5	5	0.001
1046	regius	2771	10.05	5	4	0.001
1047	minus	3836	13.913	6	6	0.001
1048	doleo	1861	6.75	5	4	0.001
1049	prohibeo	3670	13.311	6	6	0.001
1050	congruo	1071	3.884	5	5	0.001
1051	paruulus2	990	3.591	5	5	0.001
1052	ueraciter	1702	6.173	5	5	0.001
1053	exilium	1097	3.979	5	4	0.001
1054	uniuersalis	1824	6.615	5	4	0.001
1055	extra2	2294	8.32	5	4	0.001
1056	adhibeo	1665	6.039	5	5	0.001
1057	haud	998	3.62	5	5	0.001
1058	colo2	2118	7.682	5	4	0.001
1059	contendo	1681	6.097	5	5	0.001
1060	statim	2835	10.282	5	5	0.001
1061	difficilis	1097	3.979	5	5	0.001
1062	adiungo	1545	5.604	5	5	0.001
1063	principatus	1194	4.331	5	2	0.001
1064	canonicus1	1154	4.185	5	4	0.001
1065	remaneo	2821	10.231	5	4	0.001
1066	decurro	1098	3.982	5	5	0.001
1067	oporteo	5575	20.22	6	6	0.001
1068	expedio	1001	3.631	5	5	0.001
1069	qualiter	3848	13.956	6	6	0.001
1070	sol	5333	19.342	6	6	0.001
1071	discipulus	4540	16.466	6	6	0.001
1072	femen	1741	6.314	5	5	0.001
1073	foris1	1679	6.09	5	5	0.001
1074	gradus	2977	10.797	5	5	0.001
1075	longus	2662	9.655	5	5	0.001
1076	apostolicus	9163	33.233	7	7	0.001
1077	medicus2	1043	3.783	5	5	0.001
1078	species	4029	14.613	6	6	0.001
1079	adhereo	1505	5.458	5	5	0.001
1080	melius	2662	9.655	5	4	0.001
1081	mirus	2751	9.978	5	5	0.001
1082	spiro	1127	4.088	5	5	0.001
1083	pascha	2667	9.673	5	2	0.001
1084	!	3970	14.399	6	6	0.001
1085	antea	1450	5.259	5	5	0.001
1086	hereo	1183	4.291	5	5	0.001
1087	indigeo	1443	5.234	5	5	0.001
1088	intentio	2591	9.397	5	3	0.001
1089	caueo	2277	8.258	5	5	0.001
1090	continuo1	1367	4.958	5	4	0.001
1091	deuotio	2396	8.69	5	5	0.001
1092	duco	7756	28.13	7	7	0.001
1093	pondus	1722	6.245	5	4	0.001
1094	propheto	1207	4.378	5	5	0.001
1095	qualis	4107	14.896	6	6	0.001
1096	queo	1026	3.721	5	4	0.001
1097	reprehendo	1473	5.342	5	5	0.001
1098	conseruo	2483	9.006	5	4	0.001
1099	mons	6752	24.489	7	7	0.001
1100	demon	2421	8.781	5	5	0.001
1101	notus	1790	6.492	5	5	0.001
1102	precipio	4246	15.4	6	5	0.001
1103	respicio	2660	9.647	5	4	0.001
1104	mora1	3957	14.352	6	6	0.001
1105	sono	1514	5.491	5	5	0.001
1106	nitor1	1313	4.762	5	5	0.001
1107	undique	1251	4.537	5	4	0.001
1108	adeo1	1586	5.752	5	5	0.001
1109	predestino	2670	9.684	5	4	0.001
1110	proinde	1159	4.204	5	5	0.001
1111	insuper1	1715	6.22	5	5	0.001
1112	medium	1199	4.349	5	5	0.001
1113	uniuersi	4770	17.3	5	5	0.001
1114	quatenus	4354	15.791	5	5	0.001
1115	statuo	3172	11.504	5	5	0.001
1116	omnino	4403	15.969	5	5	0.001
1117	uanitas	959	3.478	5	4	0.001
1118	potius	4633	16.803	5	5	0.001
1119	dedo	5825	21.126	5	5	0.001
1120	dux1	4842	17.561	5	5	0.001
1121	forma	4151	15.055	5	5	0.001
1122	amicus2	3053	11.073	5	5	0.001
1123	certus	4360	15.813	5	5	0.001
1124	concedo	5214	18.91	5	5	0.001
1125	quisquam	3862	14.007	5	5	0.001
1126	neco	4303	15.606	5	5	0.001
1127	absque	4330	15.704	5	5	0.001
1128	prius	6813	24.71	6	4	0.001
1129	semper	14444	52.386	8	8	0.001
1130	fidelis	12503	45.347	7	7	0.001
1131	proficio	3874	14.05	5	5	0.001
1132	ira	3684	13.361	5	2	0.001
1133	oculus	9410	34.129	7	7	0.001
1134	agnosco	3424	12.418	5	4	0.001
1135	cado	4445	16.121	5	5	0.001
1136	domus	13754	49.884	8	8	0.001
1137	existimo	3501	12.698	5	5	0.001
1138	princeps	10481	38.013	7	7	0.001
1139	honor	9422	34.172	7	7	0.001
1140	malus1	7711	27.967	6	6	0.001
1141	sine	17513	63.517	9	8	0.001
1142	mox	4291	15.563	5	5	0.001
1143	admoneo	3156	11.446	5	4	0.001
1144	sedes	9426	34.187	6	5	0.001
1145	tribuo	3915	14.199	5	5	0.001
1146	iudico	9448	34.267	6	6	0.001
1147	communis	4075	14.779	5	4	0.001
1148	ordino	5530	20.057	5	5	0.001
1149	placeo	6145	22.287	6	6	0.001
1150	regno	4305	15.614	5	4	0.001
1151	nascor	7022	25.468	6	6	0.001
1152	dolor	3540	12.839	5	5	0.001
1153	pena	5506	19.969	5	5	0.001
1154	mens	14696	53.3	7	7	0.001
1155	uoluntas	11264	40.853	6	5	0.001
1156	oro	5945	21.562	5	5	0.001
1157	crux	6277	22.766	5	5	0.001
1158	summus	6483	23.513	5	5	0.001
1159	diligo	9322	33.81	5	5	0.001
1160	ius1	6001	21.765	5	5	0.001
1161	pecco	6588	23.894	5	4	0.001
1162	domina	8868	32.163	5	5	0.001
1163	futurus	9511	34.495	5	5	0.001
1164	cepio	6008	21.79	5	5	0.001
1165	morior	8639	31.332	5	5	0.001
1166	caritas	10145	36.794	5	3	0
1167	aqua	10006	36.29	5	5	0
1168	gloria	11706	42.456	5	5	0
1169	cor	20900	75.801	7	7	0
1170	caro2	18153	65.838	6	6	0
