No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value
150	prouerbium	552	2.002	14	12	2.806
151	manicheius	282	1.023	7	6	2.775
152	aperio	4103	14.881	101	46	2.763
153	33	246	0.892	6	2	2.75
154	narro	3019	10.95	73	34	2.737
155	bibliotheca	458	1.661	11	9	2.727
156	christiana	300	1.088	7	5	2.686
157	nauis	1850	6.71	43	27	2.68
158	disputo	997	3.616	23	12	2.669
159	philosophus1	217	0.787	5	5	2.667
160	canonicus2	913	3.311	21	14	2.665
161	exsto	744	2.698	17	14	2.655
162	contineo	4468	16.205	102	70	2.654
163	29	358	1.298	8	7	2.623
164	series	627	2.274	14	13	2.622
165	scottus	314	1.139	7	3	2.62
166	institutio	949	3.442	21	15	2.609
167	agnellus	546	1.98	12	2	2.599
168	indo	275	0.997	6	5	2.589
169	compono	2568	9.314	56	40	2.588
170	prophetia	1744	6.325	38	22	2.587
171	sufficienter	369	1.338	8	8	2.58
172	gratis	946	3.431	20	6	2.543
173	generatio	2678	9.713	56	29	2.527
174	peritus	383	1.389	8	8	2.526
175	memini	1496	5.426	31	24	2.514
176	22	483	1.752	10	9	2.513
177	describo	2081	7.548	43	37	2.51
178	philosophus2	726	2.633	15	13	2.51
179	hebraicus	973	3.529	20	11	2.503
180	iudex	5361	19.444	110	51	2.5
181	prefatus1	3657	13.263	75	34	2.499
182	nonus	2221	8.055	45	25	2.482
183	copia	1190	4.316	24	20	2.475
184	theologia	298	1.081	6	3	2.473
185	dissero2	448	1.625	9	7	2.47
186	repetitio	249	0.903	5	4	2.469
187	aliquot	502	1.821	10	8	2.457
188	textus	353	1.28	7	5	2.451
189	historicus1	253	0.918	5	5	2.446
190	distinguo	963	3.493	19	17	2.444
191	hamus	357	1.295	7	5	2.435
192	ascribo	825	2.992	16	14	2.419
193	uulgo2	258	0.936	5	4	2.418
194	penuria	258	0.936	5	4	2.418
195	32	260	0.943	5	3	2.407
196	collatio	313	1.135	6	5	2.402
197	multoties	261	0.947	5	3	2.401
198	sextus	2095	7.598	40	27	2.396
199	adnoto	420	1.523	8	8	2.393
200	25	423	1.534	8	4	2.383
201	inuentio	266	0.965	5	5	2.374
202	arrianus	538	1.951	10	5	2.358
203	titulus	1835	6.655	34	25	2.353
204	octoginta	384	1.393	7	7	2.329
205	caput	17026	61.751	308	92	2.318
206	quattuordecim	277	1.005	5	4	2.315
207	actus	3384	12.273	61	36	2.313
208	quantitas	786	2.851	14	10	2.296
209	interpres	619	2.245	11	10	2.293
210	uetus	4403	15.969	78	49	2.288
211	idem2	43462	157.63	766	165	2.281
212	expono	3296	11.954	58	39	2.279
213	recenseo	341	1.237	6	5	2.278
214	memoro	3082	11.178	54	24	2.272
215	testor	2767	10.036	48	40	2.258
216	miraculum	1579	5.727	27	17	2.237
217	expando2	351	1.273	6	3	2.237
218	quotienscumque	293	1.063	5	5	2.234
219	4	3774	13.688	63	37	2.202
220	signo	2460	8.922	41	21	2.2
221	superus	2965	10.754	49	28	2.188
222	opusculum	728	2.64	12	8	2.184
223	prior	4247	15.403	70	27	2.184
224	testamentum	4862	17.634	80	44	2.182
225	anterior	306	1.11	5	5	2.172
226	beatus	22102	80.161	360	120	2.167
227	euangelium	10708	38.836	174	77	2.164
228	2	4069	14.758	66	39	2.161
229	folium	564	2.046	9	8	2.137
230	partim	888	3.221	14	11	2.12
231	uiginti	2038	7.392	32	18	2.114
232	rex	31400	113.883	492	122	2.111
233	canonica1	512	1.857	8	6	2.107
234	eruditus1	644	2.336	10	9	2.098
235	breuiter	1231	4.465	19	16	2.089
236	de	136672	495.689	2086	342	2.073
237	3	4170	15.124	63	36	2.059
238	sapientia	8726	31.648	131	78	2.049
239	flagito	402	1.458	6	5	2.041
240	pando1	479	1.737	7	6	2.011
241	psalterium	548	1.988	8	8	2.009
242	reperio	3975	14.417	58	41	2.008
243	contemptor	343	1.244	5	2	2.007
244	heresis	1462	5.303	21	12	1.986
245	legens	492	1.784	7	7	1.972
246	figurate	355	1.288	5	3	1.957
247	lector	1435	5.205	20	17	1.942
248	agnos	943	3.42	13	9	1.926
249	solido	365	1.324	5	3	1.917
250	termino	660	2.394	9	5	1.911
251	pluralis	369	1.338	5	4	1.902
252	sequens	1845	6.692	25	20	1.902
253	relego1	443	1.607	6	6	1.901
254	religio	3054	11.076	41	22	1.888
255	monumentum	1118	4.055	15	11	1.887
256	plerique	748	2.713	10	9	1.882
257	decalogus	377	1.367	5	4	1.871
258	breuitas	454	1.647	6	6	1.865
259	illuster	681	2.47	9	9	1.865
260	partio1	380	1.378	5	5	1.859
261	liber1	12354	44.806	162	39	1.854
262	comburo	614	2.227	8	6	1.845
263	uocatus	768	2.785	10	7	1.844
264	26	385	1.396	5	4	1.84
