No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value
656	ut	168062	609.536	587	171	-0.054
657	opus1	24361	88.354	85	57	-0.056
658	consedeo	1723	6.249	6	5	-0.059
659	nuncupo	1437	5.212	5	4	-0.06
660	regula1	4311	15.635	15	12	-0.06
661	utor	3164	11.475	11	10	-0.061
662	indigeo	1443	5.234	5	5	-0.066
663	quicumque	9527	34.553	33	22	-0.066
664	compleo	2602	9.437	9	9	-0.068
665	postulo	2606	9.452	9	6	-0.071
666	insinuo	1739	6.307	6	6	-0.072
667	antea	1450	5.259	5	5	-0.073
668	imperator	8703	31.565	30	20	-0.073
669	bonus	26208	95.053	90	36	-0.079
670	redemptor	2043	7.41	7	5	-0.082
671	;	116352	421.992	398	151	-0.084
672	apud	14047	50.946	48	32	-0.086
673	fides	30182	109.466	103	51	-0.088
674	consummo	1759	6.38	6	6	-0.089
675	itaque	8518	30.894	29	23	-0.091
676	cultus2	2356	8.545	8	8	-0.095
677	reprehendo	1473	5.342	5	5	-0.096
678	precedo	2652	9.618	9	8	-0.096
679	natiuitas	2360	8.559	8	8	-0.098
680	pars	17433	63.227	59	46	-0.1
681	quondam	2085	7.562	7	7	-0.111
682	ieiunium	2383	8.643	8	7	-0.111
683	concilium	4771	17.304	16	13	-0.113
684	)	30262	109.756	101	71	-0.12
685	uocabulum	1799	6.525	6	6	-0.121
686	hic2	9598	34.811	32	27	-0.121
687	adhereo	1505	5.458	5	5	-0.127
688	hereticus2	3927	14.243	13	11	-0.132
689	coniungo	2118	7.682	7	7	-0.134
690	sono	1514	5.491	5	5	-0.135
691	siquidem	3033	11	10	8	-0.138
692	teneo	10923	39.616	36	29	-0.138
693	habeo	59550	215.979	196	111	-0.14
694	locus	27046	98.092	89	60	-0.14
695	decerno	3657	13.263	12	9	-0.144
696	sub	14326	51.958	47	32	-0.145
697	secundum1	20166	73.139	66	50	-0.148
698	numquid	2751	9.978	9	8	-0.149
699	facile	2448	8.879	8	8	-0.15
700	postea	4899	17.768	16	14	-0.151
701	fero	7669	27.814	25	19	-0.154
702	profecto	2155	7.816	7	7	-0.159
703	penitentia	8009	29.048	26	14	-0.16
704	auris	3705	13.438	12	12	-0.163
705	adiungo	1545	5.604	5	5	-0.164
706	doceo	10200	36.994	33	28	-0.165
707	mysterium	5257	19.066	17	14	-0.165
708	patriarcha	2486	9.016	8	7	-0.173
709	eloquium	2486	9.016	8	8	-0.173
710	quomodo	10295	37.338	33	25	-0.178
711	olim	2184	7.921	7	7	-0.178
712	conscientia	2496	9.053	8	8	-0.178
713	tam	10045	36.432	32	26	-0.187
714	medion	3146	11.41	10	10	-0.19
715	considero	2835	10.282	9	7	-0.192
716	adeo1	1586	5.752	5	5	-0.202
717	miro	1905	6.909	6	6	-0.204
718	extremus	1915	6.945	6	6	-0.211
719	apostolus	27482	99.673	86	46	-0.213
720	igitur	11511	41.749	36	27	-0.214
721	trado	8965	32.515	28	22	-0.216
722	aurum	2563	9.296	8	8	-0.217
723	pateo	2889	10.478	9	9	-0.219
724	quapropter	2248	8.153	7	6	-0.22
725	nam	23565	85.467	73	45	-0.227
726	penite	2590	9.394	8	8	-0.232
727	nimirum	2607	9.455	8	8	-0.241
728	quare	3911	14.185	12	10	-0.241
729	iam	20595	74.695	63	47	-0.246
730	uisio	2627	9.528	8	6	-0.252
731	alius	47026	170.556	143	89	-0.254
732	supra1	2964	10.75	9	9	-0.256
733	,	2210261	8016.289	6686	591	-0.262
734	tango	2645	9.593	8	8	-0.262
735	quamuis	4631	16.796	14	11	-0.263
736	auctoritas	8934	32.402	27	25	-0.263
737	natura	10944	39.692	33	17	-0.266
738	pastor	3648	13.231	11	10	-0.266
739	adhibeo	1665	6.039	5	5	-0.272
740	scientia	5333	19.342	16	15	-0.274
741	differo	2004	7.268	6	6	-0.277
742	reliquus	5021	18.21	15	12	-0.28
743	uidelicet	10383	37.658	31	22	-0.281
744	laus	6034	21.884	18	16	-0.282
745	arca	2348	8.516	7	7	-0.283
746	foris1	1679	6.09	5	5	-0.284
747	presto2	3023	10.964	9	9	-0.285
748	contendo	1681	6.097	5	5	-0.286
749	quod	53580	194.327	159	91	-0.289
750	ueraciter	1702	6.173	5	5	-0.304
751	et	725333	2630.675	2118	402	-0.313
752	insuper1	1715	6.22	5	5	-0.315
753	rector	1719	6.235	5	5	-0.318
754	solus1	8953	32.471	26	24	-0.321
755	pondus	1722	6.245	5	4	-0.321
756	misa	3456	12.534	10	9	-0.326
757	nobilis	2434	8.828	7	7	-0.335
758	femen	1741	6.314	5	5	-0.337
759	usus	3832	13.898	11	10	-0.337
760	uelut2	5228	18.961	15	13	-0.338
761	tollo	2793	10.13	8	5	-0.341
762	loquor	15720	57.014	45	38	-0.341
763	donum	4909	17.804	14	9	-0.347
764	cura	4219	15.302	12	10	-0.351
765	tandem	2476	8.98	7	5	-0.359
766	sensus	7122	25.83	20	19	-0.369
767	paulus	8919	32.348	25	20	-0.372
768	notus	1790	6.492	5	5	-0.377
769	consensus	2152	7.805	6	6	-0.379
770	sum	524045	1900.634	1457	336	-0.383
771	dubito	2518	9.132	7	7	-0.384
772	?	41969	152.215	116	60	-0.392
773	pontifex	6896	25.011	19	18	-0.397
774	totus	19267	69.879	53	44	-0.399
775	archiepiscopus	3644	13.216	10	10	-0.402
776	sufficio	2918	10.583	8	8	-0.404
777	nequaquam	3283	11.907	9	9	-0.404
778	uniuersalis	1824	6.615	5	4	-0.404
779	ipse2	84491	306.436	230	131	-0.414
780	figura	2940	10.663	8	7	-0.415
781	appeto	1859	6.742	5	5	-0.431
782	doleo	1861	6.75	5	4	-0.433
783	decretum	2986	10.83	8	3	-0.437
784	respondeo	7111	25.791	19	12	-0.441
785	nemo	6740	24.445	18	12	-0.442
786	solum1	10488	38.038	28	26	-0.442
787	dimitto	5627	20.408	15	13	-0.444
788	uterque	7941	28.801	21	17	-0.456
789	at	3787	13.735	10	7	-0.458
790	cum2	48101	174.455	127	83	-0.458
791	super	23579	85.518	62	42	-0.464
792	iterum	6856	24.866	18	16	-0.466
793	longe	3815	13.836	10	9	-0.468
794	mitto	15279	55.415	40	33	-0.47
795	diuido	3443	12.487	9	8	-0.472
796	interpretor	5357	19.429	14	12	-0.473
797	enim	66589	241.508	174	97	-0.473
798	uerus	13589	49.285	35	21	-0.494
799	moueo	3885	14.09	10	5	-0.495
800	suus	117610	426.554	302	133	-0.498
801	leo	4300	15.596	11	8	-0.504
802	confero	4308	15.625	11	10	-0.506
803	quantus	4715	17.101	12	12	-0.511
804	significo	10220	37.066	26	21	-0.512
805	si	77083	279.569	196	98	-0.512
806	hodie	2363	8.57	6	5	-0.514
807	inde	7879	28.576	20	18	-0.515
808	examplum	6710	24.336	17	13	-0.518
809	episcopus	33792	122.559	85	52	-0.528
810	signum	14316	51.922	36	32	-0.528
811	licet	5198	18.852	13	13	-0.536
812	augustus1	3199	11.602	8	8	-0.536
813	alibi	2804	10.17	7	7	-0.539
814	martyr	7254	26.309	18	17	-0.548
815	curo	3637	13.191	9	8	-0.552
816	magister2	3647	13.227	9	9	-0.555
817	commendo	3669	13.307	9	9	-0.564
818	exsisto	6201	22.49	15	13	-0.584
819	taceo	2071	7.511	5	4	-0.587
820	intellego	19060	69.128	46	33	-0.588
821	struo	2489	9.027	6	6	-0.589
822	falsus	3326	12.063	8	7	-0.593
823	oratio	8345	30.266	20	15	-0.598
824	redeo	5029	18.239	12	11	-0.604
825	sic	22224	80.603	53	45	-0.605
826	bonum	2097	7.606	5	5	-0.605
827	ad	177121	642.392	422	181	-0.606
828	celestis	9264	33.599	22	16	-0.611
829	procedo	4218	15.298	10	5	-0.613
830	colo2	2118	7.682	5	4	-0.619
831	abeo	2123	7.7	5	4	-0.623
832	efficio	3399	12.328	8	8	-0.624
833	clarus	2977	10.797	7	7	-0.625
834	quisque	7232	26.229	17	16	-0.626
835	homo	47745	173.164	112	48	-0.629
836	moneo	2562	9.292	6	5	-0.631
837	que	76595	277.799	179	109	-0.634
838	separo	2582	9.365	6	4	-0.642
839	magnus	24102	87.414	56	46	-0.642
840	iustitia	11209	40.653	26	19	-0.645
841	presumo	4746	17.213	11	9	-0.646
842	etenim	2603	9.441	6	6	-0.654
843	bene	8253	29.932	19	15	-0.656
844	offero	7405	26.857	17	16	-0.66
845	manus2	17027	61.754	39	30	-0.663
846	templum	6987	25.341	16	9	-0.663
847	a	138248	501.405	315	182	-0.671
848	dictum	3527	12.792	8	8	-0.677
849	diaconus	3974	14.413	9	7	-0.679
850	lingua	5301	19.226	12	12	-0.68
851	uero1	35931	130.316	81	64	-0.686
852	propterea	3112	11.287	7	7	-0.689
853	aliquis	23119	83.849	52	42	-0.689
854	coram2	4891	17.739	11	10	-0.689
855	iubeo	9352	33.918	21	19	-0.692
856	quidem	13370	48.491	30	27	-0.693
857	quis	41464	150.384	93	59	-0.693
858	ille2	110466	400.644	247	136	-0.698
859	abbas	7157	25.957	16	14	-0.698
860	numquam	4938	17.909	11	10	-0.703
861	spiritus	31474	114.152	70	29	-0.706
862	cupio	3148	11.417	7	7	-0.706
863	confirmo	4512	16.364	10	10	-0.711
864	uel	61906	224.524	137	76	-0.713
865	custodio2	4080	14.798	9	8	-0.717
866	nec	57170	207.347	126	78	-0.719
867	labor2	4996	18.12	11	11	-0.72
868	caueo	2277	8.258	5	5	-0.724
869	omnis	114016	413.519	250	139	-0.726
870	perduco	2286	8.291	5	5	-0.73
871	postquam	4115	14.925	9	9	-0.73
872	utique	5038	18.272	11	10	-0.732
873	pereo	5041	18.283	11	8	-0.733
874	extra2	2294	8.32	5	4	-0.735
875	pater	42897	155.581	93	61	-0.742
876	post2	23168	84.027	50	37	-0.749
877	scilicet	11586	42.021	25	21	-0.749
878	ergo1	29670	107.609	64	45	-0.75
879	autem	64914	235.434	140	78	-0.75
880	fio	22271	80.774	48	41	-0.751
881	res	22399	81.238	48	43	-0.759
882	plenus	5158	18.707	11	11	-0.766
883	edo1	6571	23.832	14	12	-0.767
884	atque	64010	232.155	136	89	-0.771
885	diu	2832	10.271	6	6	-0.776
886	testis	2836	10.286	6	6	-0.778
887	percutio	3314	12.019	7	5	-0.78
888	prauus	2846	10.322	6	6	-0.783
889	relinquo	6672	24.198	14	14	-0.789
890	uideo	45783	166.048	96	64	-0.79
891	quando	13356	48.44	28	22	-0.791
892	deuotio	2396	8.69	5	5	-0.797
893	permaneo	4808	17.438	10	8	-0.802
894	populus1	22668	82.214	47	31	-0.807
895	huiusmodi	4354	15.791	9	9	-0.811
896	demon	2421	8.781	5	5	-0.812
897	uir	19443	70.517	40	38	-0.818
898	mereo1	3403	12.342	7	7	-0.818
899	iudeus	14110	51.175	29	24	-0.819
900	quam	41978	152.248	86	67	-0.824
901	tamen	22532	81.72	46	35	-0.829
902	unitas	3431	12.444	7	6	-0.83
903	circa2	3449	12.509	7	7	-0.838
904	usque	24197	87.759	49	39	-0.841
905	conseruo	2483	9.006	5	4	-0.849
906	idolum	2982	10.815	6	6	-0.85
907	consequor	2491	9.035	5	5	-0.854
908	alter	10468	37.966	21	20	-0.854
909	100	3493	12.669	7	7	-0.856
910	subicio	3002	10.888	6	6	-0.86
911	similis	5541	20.096	11	7	-0.869
912	ecce	7576	27.477	15	12	-0.873
913	quero	8096	29.363	16	13	-0.876
914	gratia2	23297	84.495	46	20	-0.877
915	consentio	3040	11.026	6	4	-0.878
916	permitto	4066	14.747	8	8	-0.882
917	quisquis1	7132	25.867	14	13	-0.886
918	spiritalis	7657	27.771	15	12	-0.889
919	proprius1	13802	50.058	27	24	-0.891
920	facio	73916	268.082	144	104	-0.897
921	saluator	5664	20.543	11	8	-0.901
922	creatura	4120	14.943	8	7	-0.901
923	capio1	5156	18.7	10	9	-0.903
924	nunc	13926	50.508	27	22	-0.904
925	quantum	5680	20.601	11	10	-0.905
926	quoniam	16008	58.059	31	24	-0.905
927	intentio	2591	9.397	5	3	-0.91
928	cum1	70084	254.184	135	95	-0.913
929	soleo	4683	16.985	9	9	-0.916
930	pariter	3123	11.327	6	6	-0.917
931	ualde	3126	11.338	6	6	-0.918
932	annus	23523	85.314	45	32	-0.923
933	quia	98686	357.92	188	89	-0.929
934	nullus	24241	87.919	46	38	-0.935
935	uolo2	23240	84.288	44	35	-0.938
936	peto	6871	24.92	13	12	-0.939
937	respicio	2660	9.647	5	4	-0.948
938	longus	2662	9.655	5	5	-0.949
939	melius	2662	9.655	5	4	-0.949
940	tempus	29849	108.258	56	43	-0.951
941	pascha	2667	9.673	5	2	-0.952
942	predestino	2670	9.684	5	4	-0.954
943	predicatio	4273	15.498	8	6	-0.954
944	constituo	8682	31.488	16	15	-0.977
945	querio	3799	13.778	7	7	-0.977
946	designo	3799	13.778	7	7	-0.977
947	nosco	9229	33.472	17	16	-0.977
948	possum	56956	206.571	104	81	-0.99
949	mirus	2751	9.978	5	5	-0.997
950	intellectus	3313	12.016	6	5	-1.002
951	sed	101708	368.88	184	119	-1.003
952	regius	2771	10.05	5	4	-1.007
953	pertineo	6671	24.195	12	11	-1.012
954	talis	14475	52.499	26	24	-1.014
955	comes	4465	16.194	8	6	-1.017
956	appareo	6162	22.349	11	11	-1.023
957	persona	7304	26.491	13	10	-1.027
958	puer	3939	14.286	7	7	-1.029
959	remaneo	2821	10.231	5	4	-1.033
960	contrarius	3386	12.281	6	6	-1.033
961	filia	3952	14.333	7	4	-1.034
962	ante2	12432	45.089	22	16	-1.035
963	accedo	3956	14.348	7	6	-1.035
964	statim	2835	10.282	5	5	-1.04
965	culpa	2844	10.315	5	4	-1.045
966	aut	34719	125.921	61	36	-1.046
967	error	5140	18.642	9	9	-1.051
968	uoco	13140	47.657	23	17	-1.051
969	is2	288636	1046.84	505	214	-1.052
970	lux	6916	25.083	12	11	-1.064
971	crimen	3459	12.545	6	6	-1.064
972	noster	59504	215.812	103	72	-1.067
973	quasi	19683	71.387	34	26	-1.07
974	lapis	4057	14.714	7	5	-1.072
975	sacerdos	12795	46.406	22	21	-1.077
976	precapio	3522	12.774	6	5	-1.09
977	modus	5285	19.168	9	9	-1.091
978	perpetuus	4114	14.921	7	7	-1.092
979	propter	17688	64.152	30	23	-1.097
980	ibi	10625	38.535	18	17	-1.098
981	tum	16556	60.046	28	23	-1.101
982	deinde	5323	19.306	9	9	-1.101
983	sapiens	3554	12.89	6	6	-1.103
984	audio	20164	73.132	34	28	-1.105
985	aduentus	3564	12.926	6	6	-1.107
986	publicus1	3571	12.952	6	6	-1.11
987	gradus	2977	10.797	5	5	-1.111
988	necessarius1	3575	12.966	6	6	-1.112
989	presbyter	8350	30.284	14	13	-1.113
990	hostis	6567	23.818	11	10	-1.115
991	cognosco	10858	39.38	18	16	-1.129
992	per	98723	358.054	163	106	-1.135
993	tuus	47270	171.441	78	57	-1.136
994	angelus	8495	30.81	14	8	-1.138
995	descendo	4258	15.443	7	6	-1.142
996	liceo	4265	15.469	7	7	-1.144
997	amicus2	3053	11.073	5	5	-1.147
998	iustus	15277	55.407	25	15	-1.148
999	prohibeo	3670	13.311	6	6	-1.15
1000	ualeo	9178	33.287	15	13	-1.15
1001	adhuc	7383	26.777	12	12	-1.158
1002	gero	5597	20.3	9	9	-1.173
1003	cunctus	10019	36.337	16	13	-1.183
1004	admoneo	3156	11.446	5	4	-1.195
1005	rogo	4419	16.027	7	7	-1.195
1006	magis	8839	32.058	14	14	-1.195
1007	ueritas	13939	50.555	22	16	-1.2
1008	statuo	3172	11.504	5	5	-1.202
1009	mallus1	8278	30.023	13	10	-1.208
1010	diabolus	7654	27.76	12	11	-1.21
1011	minus	3836	13.913	6	6	-1.213
1012	ignis	8316	30.161	13	13	-1.214
1013	qualiter	3848	13.956	6	6	-1.218
1014	ratio	9036	32.772	14	12	-1.227
1015	dignus	8471	30.723	13	11	-1.241
1016	do	28094	101.893	43	35	-1.245
1017	clericus2	5231	18.972	8	7	-1.246
1018	predico1	7881	28.583	12	11	-1.252
1019	addo	4603	16.694	7	6	-1.254
1020	celebro	4605	16.702	7	7	-1.255
1021	paruus	6579	23.861	10	10	-1.255
1022	mora1	3957	14.352	6	6	-1.258
1023	!	3970	14.399	6	6	-1.263
1024	reddo	8605	31.209	13	10	-1.263
1025	seruo	7349	26.654	11	10	-1.277
1026	impleo	6026	21.855	9	9	-1.28
1027	conuenio	5358	19.433	8	8	-1.28
1028	species	4029	14.613	6	6	-1.284
1029	dico1	14166	51.378	21	17	-1.291
1030	scio	13520	49.035	20	19	-1.294
1031	unusquisque	6766	24.539	10	10	-1.295
1032	panis	5422	19.665	8	8	-1.298
1033	mors	17655	64.032	26	22	-1.3
1034	imago	5453	19.777	8	4	-1.306
1035	anima	20451	74.173	30	24	-1.306
1036	inquio	15058	54.613	22	17	-1.312
1037	qualis	4107	14.896	6	6	-1.312
1038	agnosco	3424	12.418	5	4	-1.312
1039	gens	13090	47.476	19	12	-1.321
1040	sto	5540	20.093	8	8	-1.329
1041	dies	35444	128.55	51	33	-1.334
1042	ero	26515	96.166	38	30	-1.34
1043	existimo	3501	12.698	5	5	-1.345
1044	pro	43480	157.696	62	45	-1.347
1045	tamquam	5612	20.354	8	7	-1.347
1046	non	212441	770.492	301	157	-1.356
1047	uirgo	7058	25.598	10	10	-1.356
1048	precipio	4246	15.4	6	5	-1.36
1049	transeo	5664	20.543	8	7	-1.361
1050	dolor	3540	12.839	5	5	-1.361
1051	rectus	7826	28.384	11	9	-1.368
1052	debeo	23501	85.235	33	25	-1.369
1053	dominus	89984	326.359	126	82	-1.373
1054	christus	59315	215.127	83	53	-1.374
1055	fors	5763	20.902	8	7	-1.386
1056	dominicus1	5771	20.931	8	5	-1.388
1057	aufero	5062	18.359	7	7	-1.391
1058	deus	140088	508.078	193	99	-1.396
1059	mulier	6577	23.854	9	8	-1.406
1060	ira	3684	13.361	5	2	-1.418
1061	ego	60664	220.019	82	58	-1.424
1062	corpus	25509	92.517	34	24	-1.444
1063	impius	4519	16.39	6	6	-1.45
1064	discipulus	4540	16.466	6	6	-1.456
1065	uxor	6105	22.142	8	8	-1.469
1066	benedico	4618	16.749	6	6	-1.481
1067	quisquam	3862	14.007	5	5	-1.486
1068	proficio	3874	14.05	5	5	-1.491
1069	puto	7002	25.395	9	9	-1.497
1070	tribuo	3915	14.199	5	5	-1.506
1071	passio	7106	25.772	9	8	-1.518
1072	tantus	12693	46.036	16	14	-1.525
1073	iudicium	15105	54.784	19	19	-1.528
1074	ne2	26592	96.445	33	28	-1.547
1075	modo2	10590	38.408	13	12	-1.563
1076	humanus1	10590	38.408	13	11	-1.563
1077	communis	4075	14.779	5	4	-1.564
1078	eligo	7355	26.676	9	8	-1.568
1079	dum	18066	65.523	22	19	-1.574
1080	ullus	4970	18.026	6	6	-1.587
1081	forma	4151	15.055	5	5	-1.59
1082	ob	5009	18.167	6	6	-1.598
1083	nos	57619	208.976	69	48	-1.599
1084	ecclesia	50122	181.785	60	43	-1.599
1085	nihil	13404	48.614	16	15	-1.603
1086	peruenio	6747	24.47	8	7	-1.613
1087	uerum1	7601	27.568	9	8	-1.615
1088	urbs	7688	27.883	9	9	-1.631
1089	mox	4291	15.563	5	5	-1.638
1090	neco	4303	15.606	5	5	-1.642
1091	regno	4305	15.614	5	4	-1.643
1092	nisi	22453	81.434	26	24	-1.647
1093	animus	7777	28.206	9	9	-1.648
1094	celum	17298	62.737	20	15	-1.649
1095	absque	4330	15.704	5	5	-1.651
1096	quatenus	4354	15.791	5	5	-1.659
1097	certus	4360	15.813	5	5	-1.661
1098	se	80262	291.098	92	65	-1.662
1099	omnino	4403	15.969	5	5	-1.675
1100	mensis	6191	22.454	7	6	-1.682
1101	tu	47761	173.222	54	45	-1.682
1102	sol	5333	19.342	6	6	-1.689
1103	cado	4445	16.121	5	5	-1.689
1104	hora	11585	42.017	13	12	-1.692
1105	seculum	10696	38.793	12	12	-1.693
1106	pius	8035	29.142	9	9	-1.695
1107	frater	19042	69.063	21	17	-1.718
1108	potius	4633	16.803	5	5	-1.749
1109	oporteo	5575	20.22	6	6	-1.753
1110	filius	50031	181.455	53	41	-1.776
1111	uenio	11378	41.266	12	9	-1.782
1112	uniuersi	4770	17.3	5	5	-1.791
1113	mons	6752	24.489	7	7	-1.807
1114	dux1	4842	17.561	5	5	-1.812
1115	ideo	14608	52.981	15	15	-1.821
1116	preceptum	7062	25.613	7	7	-1.871
1117	placeo	6145	22.287	6	6	-1.893
1118	concedo	5214	18.91	5	5	-1.919
1119	peccatum	26411	95.789	25	23	-1.938
1120	casa	14857	53.884	14	12	-1.944
1121	mundus2	15073	54.668	14	13	-1.965
1122	credo2	21895	79.41	20	16	-1.989
1123	uox	10981	39.827	10	9	-1.994
1124	pena	5506	19.969	5	5	-1.998
1125	potestas	9926	36	9	8	-2
1126	ipse1	9945	36.069	9	9	-2.003
1127	ordino	5530	20.057	5	5	-2.004
1128	duco	7756	28.13	7	7	-2.007
1129	monasterium	10117	36.693	9	8	-2.028
1130	nolo	10171	36.889	9	7	-2.035
1131	prius	6813	24.71	6	4	-2.042
1132	suscipio	10308	37.386	9	9	-2.054
1133	dedo	5825	21.126	5	5	-2.079
1134	nascor	7022	25.468	6	6	-2.086
1135	oro	5945	21.562	5	5	-2.108
1136	ago	19103	69.284	16	15	-2.114
1137	ius1	6001	21.765	5	5	-2.122
1138	cepio	6008	21.79	5	5	-2.124
1139	uirtus	20802	75.446	17	16	-2.15
1140	eternus	16006	58.051	13	13	-2.159
1141	crux	6277	22.766	5	5	-2.187
1142	malus1	7711	27.967	6	6	-2.221
1143	summus	6483	23.513	5	5	-2.233
1144	apostolicus	9163	33.233	7	7	-2.247
1145	pecco	6588	23.894	5	4	-2.257
1146	uester	24118	87.472	18	15	-2.281
1147	meus	41617	150.939	31	22	-2.284
1148	oculus	9410	34.129	7	7	-2.286
1149	honor	9422	34.172	7	7	-2.287
1150	uos	35822	129.921	25	21	-2.378
1151	ueneo	18864	68.417	13	10	-2.396
1152	princeps	10481	38.013	7	7	-2.441
1153	terra	26620	96.547	17	12	-2.506
1154	sedes	9426	34.187	6	5	-2.51
1155	iudico	9448	34.267	6	6	-2.514
1156	domus	13754	49.884	8	8	-2.64
1157	morior	8639	31.332	5	5	-2.648
1158	domina	8868	32.163	5	5	-2.685
1159	fidelis	12503	45.347	7	7	-2.696
1160	semper	14444	52.386	8	8	-2.711
1161	diligo	9322	33.81	5	5	-2.757
1162	uoluntas	11264	40.853	6	5	-2.767
1163	futurus	9511	34.495	5	5	-2.786
1164	sine	17513	63.517	9	8	-2.819
1165	aqua	10006	36.29	5	5	-2.86
1166	caritas	10145	36.794	5	3	-2.879
1167	mens	14696	53.3	7	7	-2.929
1168	gloria	11706	42.456	5	5	-3.086
1169	cor	20900	75.801	7	7	-3.437
1170	caro2	18153	65.838	6	6	-3.456
