No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
1317	terminetur	72	0.261	5	2
1318	conditione	676	2.452	5	5
1319	conscientie	454	1.647	5	5
1320	dedit	5078	18.417	5	5
1321	loqueretur	415	1.505	5	5
1322	martyris	2540	9.212	5	5
1323	edidi	28	0.102	5	5
1324	exponunt	87	0.316	5	5
1325	facile	1679	6.09	5	5
1326	Bellum	1196	4.338	5	5
1327	Theodosii	125	0.453	5	3
1328	perhibetur	453	1.643	5	4
1329	plurali	189	0.686	5	4
1330	Turonensibus	12	0.044	5	1
1331	Primam	910	3.3	5	5
1332	prophetia	721	2.615	5	5
1333	quatenus	4173	15.135	5	5
1334	quotiescunque	276	1.001	5	5
1335	modum	2159	7.83	5	5
1336	Nepotis	76	0.276	5	3
1337	studuit	494	1.792	5	5
1338	Paralipomenorum	5	0.018	5	3
1339	celestis	3200	11.606	5	5
1340	Codicibus	346	1.255	5	5
1341	conscriptus	41	0.149	5	5
1342	culpa	1611	5.843	5	4
1343	Is	2320	8.414	5	5
1344	descripsit	127	0.461	5	5
1345	diaconi	730	2.648	5	3
1346	legem	5254	19.056	5	4
1347	Disciplina	952	3.453	5	4
1348	litteram	1360	4.933	5	5
1349	Marcellinum	50	0.181	5	2
1350	Euangelio	4753	17.238	5	5
1351	aliquo	2384	8.646	5	4
1352	Fac	1326	4.809	5	4
1353	annis	3802	13.789	5	5
1354	fertur	896	3.25	5	5
1355	arce	630	2.285	5	5
1356	auctoribus	224	0.812	5	4
1357	Hebraicorum	11	0.04	5	3
1358	Testamentorum	151	0.548	5	5
1359	peccati	3577	12.973	5	5
1360	Petrum	1355	4.914	5	4
1361	plerisque	197	0.715	5	4
1362	postulat	428	1.552	5	4
1363	Uarronis	6	0.022	5	5
1364	uiri	4657	16.89	5	5
1365	utilis	392	1.422	5	5
1366	Romanis	729	2.644	5	5
1367	sedecim	118	0.428	5	3
1368	solidentur	8	0.029	5	3
1369	omnino	4403	15.969	5	5
1370	Oratione	1485	5.386	5	2
1371	tempora	2546	9.234	5	3
1372	partes	2365	8.578	5	4
1373	hominum	6709	24.333	5	5
1374	idolorum	813	2.949	5	5
1375	imposuit	346	1.255	5	4
1376	contemptoris	18	0.065	5	2
1377	istorum	418	1.516	5	4
1378	dicentem	768	2.785	5	5
1379	diu	2085	7.562	5	5
1380	Edificatione	134	0.486	5	1
1381	episcopis	3373	12.233	5	5
1382	adeo	1586	5.752	5	5
1383	anima	6506	23.596	5	5
1384	Apologeticum	25	0.091	5	5
1385	foris	1679	6.09	5	5
1386	fuerint	3718	13.485	5	5
1387	Arianos	65	0.236	5	2
1388	haud	963	3.493	5	5
1389	canones	1603	5.814	5	5
1390	teste	710	2.575	5	5
1391	tractatum	145	0.526	5	5
1392	posterioribus	127	0.461	5	4
1393	precepta	2611	9.47	5	5
1394	undique	1251	4.537	5	4
1395	Prosperum	108	0.392	5	3
1396	quatuordecim	273	0.99	5	4
1397	Radberti	25	0.091	5	3
1398	reperimus	253	0.918	5	5
1399	medium	1211	4.392	5	5
1400	miracula	1062	3.852	5	4
1401	sensus	3828	13.884	5	4
1402	conditi	135	0.49	5	5
1403	intentio	688	2.495	5	3
1404	continuo	1374	4.983	5	4
1405	Isaiam	496	1.799	5	4
1406	debitum	780	2.829	5	3
1407	loquens	728	2.64	5	4
1408	magister	1270	4.606	5	5
1409	Marie	2048	7.428	5	5
1410	faceret	1166	4.229	5	5
1411	fecerit	1796	6.514	5	5
1412	Baruch	62	0.225	5	2
1413	breui	572	2.075	5	5
1414	Pelagium	52	0.189	5	2
1415	Tobi	10	0.036	5	4
1416	Philo	18	0.065	5	4
1417	possunt	4386	15.907	5	5
1418	uestre	4617	16.745	5	5
1419	Probatur	838	3.039	5	5
1420	unusquisque	3064	11.113	5	5
1421	quodammodo	1085	3.935	5	4
1422	morte	4064	14.74	5	5
1423	multoties	235	0.852	5	3
1424	natiuitate	596	2.162	5	5
1425	sermonis	754	2.735	5	5
1426	Noni	42	0.152	5	5
1427	obtulit	833	3.021	5	5
1428	synodi	711	2.579	5	4
1429	Pascha	1826	6.623	5	2
1430	capitulari	98	0.355	5	4
1431	comprobatur	244	0.885	5	5
1432	congregauit	244	0.885	5	5
1433	conscripti	59	0.214	5	5
1434	ira	1975	7.163	5	2
1435	Iudei	2788	10.112	5	5
1436	lectionem	318	1.153	5	5
1437	discere	421	1.527	5	5
1438	legite	30	0.109	5	4
1439	Libello	400	1.451	5	5
1440	Ludouicum	247	0.896	5	5
1441	Malachie	19	0.069	5	3
1442	manuscriptis	26	0.094	5	3
1443	ecclesiasticorum	163	0.591	5	4
1444	Elipandum	34	0.123	5	4
1445	adiecit	422	1.531	5	5
1446	Agone	197	0.715	5	4
1447	exhibet	304	1.103	5	5
1448	explanatione	60	0.218	5	5
1449	fere	991	3.594	5	5
1450	Francorum	1894	6.869	5	4
1451	arte	867	3.145	5	5
1452	audit	929	3.369	5	4
1453	Hebraicis	33	0.12	5	4
1454	penuria	127	0.461	5	4
1455	tractauimus	51	0.185	5	3
1456	plurimi	510	1.85	5	4
1457	positum	1073	3.892	5	5
1458	tulit	806	2.923	5	5
1459	potius	4608	16.713	5	5
1460	Uenit	6490	23.538	5	5
1461	presumpserit	609	2.209	5	4
1462	Priorum	355	1.288	5	4
1463	Xxxii	260	0.943	5	3
1464	maxima	1047	3.797	5	5
1465	melius	3086	11.193	5	4
1466	Saul	1031	3.739	5	5
1467	Monitum	108	0.392	5	5
1468	mox	4291	15.563	5	5
1469	multo	2677	9.709	5	5
1470	sermo	3100	11.243	5	5
1471	offert	502	1.821	5	5
1472	ornamenta	322	1.168	5	4
1473	Talibus	1984	7.196	5	5
1474	termino	234	0.849	5	4
1475	Christiane	685	2.484	5	5
1476	indicem	29	0.105	5	5
1477	insuper	1715	6.22	5	5
1478	creditur	1063	3.855	5	2
1479	Cunctis	3943	14.301	5	4
1480	Laus	1005	3.645	5	4
1481	disputatum	60	0.218	5	3
1482	manifestissime	260	0.943	5	5
1483	Matthei	253	0.918	5	4
1484	Etherii	22	0.08	5	1
1485	aduocatus	286	1.037	5	3
1486	aliquem	1228	4.454	5	5
1487	Expositio	166	0.602	5	5
1488	extra	2607	9.455	5	4
1489	theologia	164	0.595	5	2
1490	Tolle	303	1.099	5	3
1491	Plaga	557	2.02	5	5
1492	tuum	6539	23.716	5	5
1493	predictus	769	2.789	5	5
1494	uideretur	1012	3.67	5	5
1495	proinde	1158	4.2	5	5
1496	Regularum	96	0.348	5	5
1497	Reuera	711	2.579	5	5
1498	sacerdos	2980	10.808	5	5
1499	Mediolanensis	114	0.414	5	2
1500	nouis	289	1.048	5	4
1501	Ordo	1921	6.967	5	4
1502	tanta	3249	11.784	5	4
1503	Tempus	6697	24.289	5	5
1504	coniugii	247	0.896	5	3
1505	corporis	6617	23.999	5	5
1506	Ioseph	1767	6.409	5	4
1507	cultu	665	2.412	5	5
1508	delebo	61	0.221	5	5
1509	lectori	115	0.417	5	5
1510	Differentiarum	22	0.08	5	5
1511	legendo	160	0.58	5	5
1512	dispositionum	34	0.123	5	2
1513	litterarum	856	3.105	5	5
1514	dolore	943	3.42	5	5
1515	duabus	1108	4.019	5	5
1516	ecclesiam	8817	31.978	5	5
1517	absque	4330	15.704	5	5
1518	exinde	1244	4.512	5	5
1519	exposuit	384	1.393	5	5
1520	facere	6211	22.526	5	3
1521	appellat	897	3.253	5	5
1522	fratres	5632	20.426	5	5
1523	archiepiscopum	682	2.474	5	5
1524	habebat	1733	6.285	5	5
1525	Hebrei	598	2.169	5	5
