No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
765	hereses	316	1.146	10	4
766	sacerdotes	3065	11.116	10	9
767	Homiliarum	20	0.073	10	7
768	Daniel	382	1.386	10	10
769	sequentibus	918	3.329	10	8
770	nostre	6929	25.131	10	7
771	horum	2342	8.494	10	10
772	Filio	5805	21.054	10	8
773	Genesim	35	0.127	10	9
774	totidem	347	1.259	10	9
775	prefatione	166	0.602	10	10
776	uoluerit	2172	7.878	10	8
777	Ioannem	1314	4.766	10	8
778	libros	1044	3.786	10	7
779	facit	5068	18.381	10	8
780	appendices	27	0.098	10	1
781	sepius	1208	4.381	10	9
782	nostris	5969	21.649	10	9
783	Siquidem	3033	11	10	8
784	sua	17389	63.067	10	10
785	descripta	160	0.58	10	10
786	eosdem	752	2.727	10	7
787	aliorum	2187	7.932	10	8
788	aliquot	502	1.821	10	8
789	Faustum	54	0.196	10	7
790	Apocalypsi	668	2.423	10	9
791	At	3787	13.735	10	7
792	peccato	3649	13.234	9	8
793	Preterea	1228	4.454	9	8
794	seculi	5061	18.356	9	9
795	sequenti	621	2.252	9	9
796	Cura	1711	6.206	9	8
797	deinde	5116	18.555	9	9
798	dextera	1196	4.338	9	4
799	die	13670	49.579	9	9
800	lex	3682	13.354	9	8
801	luce	1859	6.742	9	8
802	magnum	1997	7.243	9	8
803	eas	3004	10.895	9	8
804	erant	7471	27.096	9	8
805	expositionem	198	0.718	9	7
806	alterius	2354	8.538	9	8
807	arbitrio	1015	3.681	9	8
808	precipue	1288	4.671	9	8
809	prioris	495	1.795	9	3
810	Miraculis	856	3.105	9	6
811	sex	2329	8.447	9	6
812	nostrorum	2327	8.44	9	6
813	Nunquid	2642	9.582	9	8
814	institutionum	42	0.152	9	6
815	Euangelistarum	200	0.725	9	7
816	Alcuinus	191	0.693	9	7
817	gentium	3716	13.477	9	8
818	beate	1114	4.04	9	8
819	reperi	181	0.657	9	8
820	millia	2134	7.74	9	7
821	sensu	1803	6.539	9	9
822	numerus	2131	7.729	9	8
823	Paschasii	43	0.156	9	2
824	ista	5699	20.669	9	9
825	declaratur	362	1.313	9	8
826	diuersos	323	1.172	9	8
827	egredietur	243	0.881	9	5
828	Pontificali	193	0.7	9	4
829	uerum	8319	30.172	9	8
830	prophetam	2601	9.433	9	8
831	propriis	1541	5.589	9	7
832	uolum	37	0.134	9	1
833	Moysen	1428	5.179	9	9
834	multorum	1411	5.118	9	8
835	Iouinianum	20	0.073	9	7
836	accipiat	948	3.438	9	4
837	Ezechiel	363	1.317	9	5
838	beato	1575	5.712	9	7
839	tui	5140	18.642	9	9
840	prefati	738	2.677	9	9
841	nulla	5661	20.532	9	9
842	suam	12923	46.87	9	9
843	ore	4202	15.24	9	8
844	Tabernaculo	570	2.067	9	2
845	imperatorem	1046	3.794	9	8
846	Coniugiis	55	0.2	9	5
847	constat	2554	9.263	9	9
848	dignus	1376	4.991	9	7
849	euangelista	1406	5.099	9	7
850	Alcuini	200	0.725	9	7
851	exponit	688	2.495	9	9
852	aliud	8095	29.359	9	8
853	auctoritas	1468	5.324	9	8
854	Bellorum	189	0.686	9	8
855	tria	1611	5.843	9	9
856	Pontificum	914	3.315	9	8
857	Tu	9923	35.989	9	9
