No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Z-score value
150	homilia	934	3.388	24	17	10.928
151	faustus	220	0.798	11	8	10.861
152	duo	16653	60.398	145	78	10.822
153	premium2	90	0.326	7	7	10.806
154	memini	1496	5.426	31	24	10.765
155	precedens	704	2.553	20	13	10.606
156	appello1	6044	21.921	72	33	10.589
157	signo	2460	8.922	41	21	10.572
158	hierarchia	418	1.516	15	6	10.545
159	sicut	41928	152.067	281	119	10.415
160	titulus	1835	6.655	34	25	10.406
161	disputatio	600	2.176	18	12	10.388
162	sententia	8224	29.827	87	49	10.377
163	didymus	71	0.258	6	6	10.331
164	canticus	546	1.98	17	11	10.318
165	pontificalis	546	1.98	17	6	10.318
166	flosculus	49	0.178	5	5	10.253
167	pleuio	72	0.261	6	5	10.252
168	ueteres	678	2.459	19	16	10.229
169	pentateuchum	50	0.181	5	4	10.142
170	seruus2	9225	33.458	92	60	10.035
171	disputo	997	3.616	23	12	9.931
172	uaro2	52	0.189	5	5	9.928
173	pretitulo	53	0.192	5	5	9.825
174	octauus	592	2.147	17	12	9.795
175	index	218	0.791	10	9	9.795
176	auctus1	141	0.511	8	8	9.773
177	tres	11031	40.008	102	61	9.722
178	inter	18369	66.622	145	70	9.541
179	uita	30381	110.187	210	131	9.461
180	canonicus2	913	3.311	21	14	9.446
181	gista	152	0.551	8	3	9.359
182	prolixitas	192	0.696	9	5	9.351
183	pelagium	59	0.214	5	2	9.265
184	copia	1190	4.316	24	20	9.234
185	auctor	4106	14.892	51	38	9.227
186	institutio	949	3.442	21	15	9.195
187	inuoluo	652	2.365	17	7	9.192
188	demonstro	4132	14.986	51	37	9.174
189	editus1	159	0.577	8	7	9.117
190	signaculum	465	1.687	14	13	9.097
191	edictum	613	2.223	16	15	8.904
192	uiginti	2038	7.392	32	18	8.868
193	religio	3054	11.076	41	22	8.841
194	doctor	5048	18.308	56	32	8.692
195	miraculum	1579	5.727	27	17	8.681
196	gratis	946	3.431	20	6	8.675
197	tripartitus	98	0.355	6	5	8.629
198	philosophicus	98	0.355	6	4	8.629
199	astipulor	68	0.247	5	4	8.565
200	hebraicus	973	3.529	20	11	8.502
201	elegans	139	0.504	7	5	8.445
202	exsto	744	2.698	17	14	8.402
203	ecclesiastes2	103	0.374	6	5	8.387
204	sanctus2	10126	36.726	88	43	8.378
205	epistola	8199	29.737	75	44	8.209
206	plures	2957	10.725	38	22	8.176
207	principium	3225	11.697	40	27	8.13
208	prouerbium	552	2.002	14	12	8.126
209	distinguo	963	3.493	19	17	8.03
210	quoque	16521	59.919	122	70	7.955
211	psalmus	6551	23.76	63	37	7.948
212	commentum	201	0.729	8	5	7.93
213	clausula	78	0.283	5	5	7.929
214	catalogus	319	1.157	10	7	7.756
215	reparatio	214	0.776	8	2	7.632
216	decerpo	123	0.446	6	6	7.567
217	series	627	2.274	14	13	7.444
218	uetustus	283	1.026	9	7	7.377
219	explano	412	1.494	11	9	7.367
220	5	3578	12.977	40	23	7.363
221	totidem	347	1.259	10	9	7.346
222	philosophus2	726	2.633	15	13	7.313
223	ascribo	825	2.992	16	14	7.231
224	retracto	304	1.103	9	6	7.045
225	sequens	1845	6.692	25	20	6.884
226	aris	100	0.363	5	5	6.87
