No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	T-score value
150	authenticus	145	0.526	17	15	3.996
151	septem	4445	16.121	42	24	3.993
152	scriptura	9540	34.6	67	43	3.958
153	unde	25621	92.924	139	69	3.908
154	precedens	704	2.553	20	13	3.901
155	initium	3538	12.832	36	27	3.861
156	etymologia	154	0.559	16	13	3.86
157	canonicus2	913	3.311	21	14	3.86
158	excerptio	166	0.602	16	14	3.849
159	capitularis1	318	1.153	17	8	3.843
160	institutio	949	3.442	21	15	3.831
161	sacer	11163	40.487	73	56	3.805
162	explanatio	217	0.787	16	11	3.803
163	ueteres	678	2.459	19	16	3.795
164	antiquus	4057	14.714	38	31	3.777
165	lapsi	257	0.932	16	6	3.767
166	disputatio	600	2.176	18	12	3.73
167	gratis	946	3.431	20	6	3.705
168	sacramentum	5790	21	46	31	3.686
169	penitentialis	200	0.725	15	5	3.686
170	hebraicus	973	3.529	20	11	3.683
171	sequens	1845	6.692	25	20	3.662
172	codex	2028	7.355	26	21	3.657
173	soluo	4073	14.772	37	29	3.654
174	10	2211	8.019	27	16	3.653
175	canticus	546	1.98	17	11	3.643
176	pontificalis	546	1.98	17	6	3.643
177	egredior	3145	11.406	32	9	3.64
178	appendix	129	0.468	14	3	3.617
179	7	2452	8.893	28	15	3.611
180	octauus	592	2.147	17	12	3.602
181	distinguo	963	3.493	19	17	3.558
182	inuoluo	652	2.365	17	7	3.55
183	gentilis	2574	9.336	28	23	3.527
184	hinc	7125	25.841	51	29	3.523
185	hierarchia	418	1.516	15	6	3.482
186	exsto	744	2.698	17	14	3.469
187	edictum	613	2.223	16	15	3.444
188	heresis	1462	5.303	21	12	3.425
189	nomen	25313	91.807	131	87	3.424
190	exaro	336	1.219	14	13	3.416
191	aduersus2	3751	13.604	33	25	3.376
192	hilariter	259	0.939	13	6	3.345
193	breuiter	1231	4.465	19	16	3.335
194	titulo	129	0.468	12	8	3.329
195	lector	1435	5.205	20	17	3.308
196	declaro	1798	6.521	22	17	3.3
197	signaculum	465	1.687	14	13	3.291
198	hermes	55	0.2	11	9	3.256
199	duodecim	2409	8.737	25	19	3.253
200	ascribo	825	2.992	16	14	3.252
201	sigale	94	0.341	11	8	3.214
202	prouerbium	552	2.002	14	12	3.207
203	computus	110	0.399	11	5	3.196
204	philosophus2	726	2.633	15	13	3.193
205	excerpo	167	0.606	11	9	3.134
206	series	627	2.274	14	13	3.134
207	insero1	1473	5.342	19	17	3.133
208	capitulare	182	0.66	11	5	3.118
209	uersus2	2043	7.41	22	19	3.111
210	mortuus	6656	24.14	45	30	3.11
211	missalis	62	0.225	10	8	3.091
212	falso2	68	0.247	10	4	3.084
213	coniugalis1	214	0.776	11	2	3.083
214	euangelista	2646	9.597	25	19	3.081
215	faustus	220	0.798	11	8	3.076
216	aperte	2530	9.176	24	18	3.026
217	adulterinus	119	0.432	10	5	3.026
218	baptismum	3341	12.117	28	18	3.002
219	octo1	1632	5.919	19	15	3.001
220	chronicus	141	0.511	10	8	3.001
221	quantitas	786	2.851	14	10	2.98
222	acta2	37	0.134	9	3	2.955
223	explecto	1331	4.827	17	17	2.952
224	diuinus2	40	0.145	9	8	2.952
225	epigramma	42	0.152	9	3	2.949
226	index	218	0.791	10	9	2.912
227	8	2494	9.045	23	15	2.91
228	canon	4285	15.541	32	24	2.91
229	agnellus	546	1.98	12	2	2.892
230	partim	888	3.221	14	11	2.881
231	additio	100	0.363	9	4	2.879
232	explano	412	1.494	11	9	2.866
233	primum	5850	21.217	39	30	2.848
234	conferuefacio	143	0.519	9	5	2.827
235	monumentum	1118	4.055	15	11	2.826
236	bibliotheca	458	1.661	11	9	2.816
237	11	1487	5.393	17	14	2.815
238	catalogus	319	1.157	10	7	2.796
239	iste1	2466	8.944	22	15	2.784
240	prolixitas	192	0.696	9	5	2.768
241	totidem	347	1.259	10	9	2.764
242	christianus1	5821	21.112	38	33	2.74
243	carmen	1216	4.41	15	14	2.734
244	manuscriptum	80	0.29	8	6	2.726
245	opusculum	728	2.64	12	8	2.702
246	condo	1272	4.613	15	14	2.682
247	manifesto2	2626	9.524	22	10	2.66
248	uetustus	283	1.026	9	7	2.658
249	agnos	943	3.42	13	9	2.657
250	auctus1	141	0.511	8	8	2.648
251	interpres	619	2.245	11	10	2.64
252	gista	152	0.551	8	3	2.634
253	retracto	304	1.103	9	6	2.632
254	lasciuus2	12	0.044	7	6	2.629
255	editus1	159	0.577	8	7	2.625
256	coniugium	1348	4.889	15	7	2.611
257	22	483	1.752	10	9	2.608
258	satis	3302	11.976	25	19	2.605
259	benedictus	2312	8.385	20	6	2.597
260	historicus2	42	0.152	7	4	2.588
261	colligo2	3327	12.067	25	22	2.587
262	aliquot	502	1.821	10	8	2.587
263	finio	2137	7.751	19	17	2.581
264	commentum	201	0.729	8	5	2.571
265	nuptie	1391	5.045	15	4	2.57
266	diuersus	6111	22.164	38	33	2.569
267	quidam	24360	88.35	116	78	2.567
268	apologeticus	58	0.21	7	6	2.566
269	diligenter	2553	9.259	21	19	2.562
270	reparatio	214	0.776	8	2	2.554
271	arrianus	538	1.951	10	5	2.545
272	nonnulli	2400	8.704	20	18	2.526
273	premium2	90	0.326	7	7	2.522
274	euidenter	948	3.438	12	10	2.472
275	prefixus	279	1.012	8	7	2.471
276	sacerdotalis	1507	5.466	15	11	2.462
277	dissero2	448	1.625	9	7	2.458
278	elegans	139	0.504	7	5	2.455
279	nouus	9489	34.415	52	38	2.439
280	antapodosis	16	0.058	6	2	2.426
281	eruditus1	644	2.336	10	9	2.424
282	16	1018	3.692	12	8	2.398
283	impono	2579	9.354	20	10	2.381
284	29	358	1.298	8	7	2.369
285	aduersus3	2204	7.994	18	4	2.359
286	papa	6029	21.866	36	28	2.356
287	sufficienter	369	1.338	8	8	2.355
288	didymus	71	0.258	6	6	2.344
289	pleuio	72	0.261	6	5	2.343
290	peritus	383	1.389	8	8	2.337
291	manifestus	4330	15.704	28	23	2.324
292	folium	564	2.046	9	8	2.318
293	tripartitus	98	0.355	6	5	2.304
294	philosophicus	98	0.355	6	4	2.304
295	plerique	748	2.713	10	9	2.304
296	ecclesiastes2	103	0.374	6	5	2.297
297	adnoto	420	1.523	8	8	2.29
298	25	423	1.534	8	4	2.286
299	uocatus	768	2.785	10	7	2.281
300	decerpo	123	0.446	6	6	2.267
301	manicheius	282	1.023	7	6	2.259
302	responsio	969	3.514	11	4	2.257
303	christiana	300	1.088	7	5	2.234
304	paucus	3823	13.866	25	17	2.227
305	nouem	997	3.616	11	9	2.226
306	georgicus	7	0.025	5	4	2.225
307	scottus	314	1.139	7	3	2.215
308	quot	1014	3.678	11	11	2.208
309	termino	660	2.394	9	5	2.202
310	philos	27	0.098	5	4	2.192
311	euangelicus	1607	5.828	14	12	2.184
312	illustris1	35	0.127	5	5	2.179
313	12	2009	7.286	16	14	2.178
314	illuster	681	2.47	9	9	2.177
315	canonica1	512	1.857	8	6	2.172
316	fastus1	43	0.156	5	4	2.166
317	textus	353	1.28	7	5	2.162
318	flosculus	49	0.178	5	5	2.157
319	hamus	357	1.295	7	5	2.156
320	apertus	1441	5.226	13	11	2.156
321	pentateuchum	50	0.181	5	4	2.155
322	uaro2	52	0.189	5	5	2.152
323	pretitulo	53	0.192	5	5	2.15
324	integer	2659	9.644	19	17	2.146
325	pelagium	59	0.214	5	2	2.14
326	astipulor	68	0.247	5	4	2.126
327	psalterium	548	1.988	8	8	2.126
328	octoginta	384	1.393	7	7	2.119
